,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
Kuldeep,Kuldeep,Portugal,22,15,4,0,146.66666666666666,0,0.0,0,0,0,0
SP Gomes,SP Gomes,Portugal,20,23,2,0,86.95652173913044,0,0.0,0,0,0,0
Azhar Andani,Azhar Andani,Portugal,5,9,0,0,55.55555555555556,0,0.0,0,0,0,0
Najjam Shahzad,Najjam Shahzad,Portugal,1,3,0,0,33.33333333333333,2,13.0,0,0,0,6.5
Amir Zaib,Amir Zaib,Portugal,0,2,0,0,0.0,1,1.0,0,0,0,1.0
F Stoman,F Stoman,Portugal,28,41,1,1,68.29268292682927,0,0.0,0,0,0,0
Fakhrul Mohon,Fakhrul Mohon,Portugal,0,3,0,0,0.0,1,16.0,0,1,1,16.0
Sirajullah Khadim,Sirajullah Khadim,Portugal,8,12,1,0,66.66666666666666,4,28.0,0,0,1,7.0
Amandeep Singh,Amandeep Singh,Portugal,2,4,0,0,50.0,2,19.0,0,0,0,9.5
Syed Maisam Ali,Syed Maisam Ali,Portugal,18,8,1,2,225.0,2,13.0,0,0,2,6.5
J Khan,J Khan,Portugal,0,0,0,0,0,2,20.0,1,1,2,10.0
ND Laegsgaard,ND Laegsgaard,Denmark,0,1,0,0,0.0,4,11.0,2,0,0,2.75
HAM Shah,HAM Shah,Denmark,44,37,3,1,118.91891891891892,3,10.0,0,0,1,3.3333333333333335
T Bharaj,T Bharaj,Denmark,58,43,8,2,134.88372093023256,0,0.0,0,0,0,0
S Thanikaithasan,S Thanikaithasan,Denmark,0,0,0,0,0,0,0.0,0,0,0,0
SA Ahmad,SA Ahmad,Denmark,0,0,0,0,0,3,15.0,2,0,1,5.0
Musa Shaheen,Musa Shaheen,Denmark,0,0,0,0,0,0,0.0,0,0,0,0
FA Klokker,FA Klokker,Denmark,0,0,0,0,0,0,0.0,0,0,0,0
Surya Anand,Surya Anand,Denmark,0,0,0,0,0,4,23.0,2,0,0,5.75
Saran Aslam,Saran Aslam,Denmark,0,0,0,0,0,0,0.0,0,0,0,0
Saud Munir,Saud Munir,Denmark,0,0,0,0,0,4,21.0,3,0,2,5.25
OD Hald,OD Hald,Denmark,0,0,0,0,0,2,28.0,0,0,0,14.0
