,name,team,runs_scored,balls_played,fours,sixes,strike_rate,overs_deliverd,runs_given,wickets,no_balls,wides,economy
Kycia A Knight,Kycia A Knight,Barbados,60,76,7,0,78.94736842105263,0,0.0,0,0,0,0
HK Matthews,HK Matthews,Barbados,22,31,2,0,70.96774193548387,6,16.0,2,0,0,2.6666666666666665
Kyshona A Knight,Kyshona A Knight,Barbados,14,26,1,0,53.84615384615385,0,0.0,0,0,0,0
A Scantlebury,A Scantlebury,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
AA Alleyne,AA Alleyne,Barbados,12,10,1,0,120.0,5,19.0,4,0,2,3.8
T Holder,T Holder,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
SC Selman,SC Selman,Barbados,0,0,0,0,0,5,27.0,1,1,0,5.4
A Williams,A Williams,Barbados,0,0,0,0,0,5,25.0,1,0,3,5.0
S Carrington,S Carrington,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
SJ Bruce,SJ Bruce,Barbados,0,0,0,0,0,5,28.0,0,0,6,5.6
Shai Carrington,Shai Carrington,Barbados,0,0,0,0,0,0,0.0,0,0,0,0
NY McLean,NY McLean,Jamaica,19,23,0,1,82.6086956521739,0,0.0,0,0,0,0
RS Williams,RS Williams,Jamaica,1,8,0,0,12.5,0,0.0,0,0,0,0
SR Taylor,SR Taylor,Jamaica,44,57,5,0,77.19298245614034,4,22.0,0,0,5,5.5
CA Henry,CA Henry,Jamaica,7,11,0,0,63.63636363636363,4,22.0,1,0,0,5.5
K Ferron,K Ferron,Jamaica,11,36,1,0,30.555555555555557,0,0.0,0,0,0,0
JN Morgan,JN Morgan,Jamaica,13,14,3,0,92.85714285714286,5,37.0,0,0,3,7.4
JE Walcott,JE Walcott,Jamaica,2,3,0,0,66.66666666666666,0,0.0,0,0,0,0
C Howell,C Howell,Jamaica,0,0,0,0,0,6,18.0,1,0,0,3.0
NA Waisome,NA Waisome,Jamaica,0,0,0,0,0,0,0.0,0,0,0,0
TR Sanford,TR Sanford,Jamaica,5,3,1,0,166.66666666666669,0,0.0,0,0,0,0
VN Watts,VN Watts,Jamaica,1,2,0,0,50.0,5,20.0,0,0,1,4.0
