version,2.2.0
info,balls_per_over,6
info,team,Surrey
info,team,Somerset
info,gender,male
info,season,2021
info,date,2021/06/23
info,event,Vitality Blast
info,venue,"Kennington Oval, London"
info,city,London
info,toss_winner,Somerset
info,toss_decision,field
info,player_of_match,JC Hildreth
info,umpire,NL Bainton
info,umpire,RJ Bailey
info,match_referee,DA Cosker
info,winner,Somerset
info,winner_wickets,7
info,player,Surrey,WG Jacks
info,player,Surrey,JL Smith
info,player,Surrey,LJ Evans
info,player,Surrey,BBA Geddes
info,player,Surrey,J Overton
info,player,Surrey,RJ Burns
info,player,Surrey,J Clark
info,player,Surrey,AAP Atkinson
info,player,Surrey,D Moriarty
info,player,Surrey,GJ Batty
info,player,Surrey,JW Dernbach
info,player,Somerset,T Banton
info,player,Somerset,JC Hildreth
info,player,Somerset,WCF Smeed
info,player,Somerset,LP Goldsworthy
info,player,Somerset,TA Lammonby
info,player,Somerset,L Gregory
info,player,Somerset,C Overton
info,player,Somerset,BGF Green
info,player,Somerset,MJ Leach
info,player,Somerset,JH Davey
info,player,Somerset,MTC Waller
info,registry,people,AAP Atkinson,70d57519
info,registry,people,BBA Geddes,305c31f2
info,registry,people,BGF Green,34b37279
info,registry,people,C Overton,e9987a94
info,registry,people,D Moriarty,6ea2710f
info,registry,people,DA Cosker,aac9f784
info,registry,people,GJ Batty,5ac8f17b
info,registry,people,J Clark,c672e80e
info,registry,people,J Overton,59559bc2
info,registry,people,JC Hildreth,782c0568
info,registry,people,JH Davey,d3868bd0
info,registry,people,JL Smith,c834c290
info,registry,people,JW Dernbach,7be8a0ed
info,registry,people,L Gregory,06c2de82
info,registry,people,LJ Evans,1c513d54
info,registry,people,LP Goldsworthy,ed47cb25
info,registry,people,MJ Leach,3987e390
info,registry,people,MTC Waller,d74d1090
info,registry,people,NL Bainton,cd219cb3
info,registry,people,RJ Bailey,6bd04fa5
info,registry,people,RJ Burns,29e8a62e
info,registry,people,T Banton,25f7b7d6
info,registry,people,TA Lammonby,73f1f6b0
info,registry,people,WCF Smeed,4e18e961
info,registry,people,WG Jacks,9caf69a1
