Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Shikhar Dhawan,28235,c Nair b Rajpoot,11,8,2,0,137.5,0
Kane Williamson (c),277906,c Ashwin b Rajpoot,0,3,0,0,0.0,0
Wriddhiman Saha †,279810,c Tye b Rajpoot,6,9,1,0,66.67,0
Manish Pandey,290630, b Rajpoot,54,51,3,1,105.88,0
Shakib Al Hasan,56143,c Agarwal b Mujeeb Ur Rahman,28,29,3,0,96.55,0
Yusuf Pathan,32498,not out ,21,19,1,1,110.53,0
Mohammad Nabi,25913,c Agarwal b Rajpoot,4,2,1,0,200.0,0
KL Rahul †,422108, b Rashid Khan,32,26,4,1,123.08,1
Chris Gayle,51880,c & b Basil Thampi,23,22,1,2,104.55,1
Mayank Agarwal,398438,c Pandey b Shakib Al Hasan,12,15,0,0,80.0,1
Karun Nair,398439,lbw b Rashid Khan,13,17,0,0,76.47,1
Aaron Finch,5334,c Pandey b Shakib Al Hasan,8,4,0,1,200.0,1
Manoj Tiwary,35565,c Williamson b Sandeep Sharma,1,5,0,0,20.0,1
Ravichandran Ashwin (c),26421,c Williamson b Rashid Khan,4,6,0,0,66.67,1
Andrew Tye,459508,lbw b Sandeep Sharma,4,2,1,0,200.0,1
Barinder Sran,537126,run out (†Saha),2,5,0,0,40.0,1
Ankit Rajpoot,591650, b Basil Thampi,8,9,1,0,88.89,1
Mujeeb Ur Rahman,974109,not out ,10,5,2,0,200.0,1
