Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Will Jacks,897549,c & b Manenti,0,2,0,0,0.0,0
D'Arcy Short,308798,c Edwards b Dwarshuis,0,1,0,0,0.0,0
Colin Ingram,45705,c Sandhu b Christian,55,42,7,1,130.95,0
Peter Handscomb (c)†,334337,st †Philippe b O'Keefe,24,20,2,1,120.0,0
Macalister Wright,816627,c Silk b Christian,8,10,0,0,80.0,0
Tim David,892749,c Edwards b Christian,58,33,8,1,175.76,0
James Faulkner,270484,c Vince b Dwarshuis,6,4,1,0,150.0,0
Nathan Ellis,826915,c Edwards b Dwarshuis,14,5,0,2,280.0,0
Johan Botha,44149,not out ,1,1,0,0,100.0,0
Scott Boland,446548,not out ,6,2,1,0,300.0,0
Josh Philippe †,1124282,lbw b Faulkner,1,3,0,0,33.33,1
Jack Edwards,1088610, b Meredith,47,39,6,1,120.51,1
James Vince,296597,lbw b Faulkner,67,41,8,2,163.41,1
Daniel Hughes (c),571761, b Meredith,9,12,1,0,75.0,1
Jordan Silk,437669,c Jacks b Ellis,13,12,0,0,108.33,1
Dan Christian,4864,c David b Boland,10,8,1,0,125.0,1
Carlos Brathwaite,457249,not out ,2,2,0,0,100.0,1
Ben Dwarshuis,679567,not out ,6,3,1,0,200.0,1
