Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Rohit Sharma,34102,c Hetmyer b Roach,4,8,14,1,0,50.0,0
Shikhar Dhawan,28235,lbw b Nurse,29,30,40,4,1,96.67,0
Virat Kohli (c),253802,not out ,157,129,217,13,4,121.71,0
Ambati Rayudu,33141, b Nurse,73,80,105,8,0,91.25,0
MS Dhoni †,28081, b McCoy,20,25,31,0,1,80.0,0
Rishabh Pant,931581,lbw b Samuels,17,13,18,2,0,130.77,0
Ravindra Jadeja,234675,c KOA Powell b McCoy,13,14,27,0,0,92.86,0
Mohammed Shami,481896,not out ,0,1,6,0,0,0.0,0
Kieran Powell,252932,c Pant b Mohammed Shami,18,20,28,3,0,90.0,1
Chandrapaul Hemraj,530811, b Kuldeep Yadav,32,24,45,6,0,133.33,1
Shai Hope †,581379,not out ,123,134,209,10,3,91.79,1
Marlon Samuels,52983, b Kuldeep Yadav,13,10,10,3,0,130.0,1
Shimron Hetmyer,670025,c Kohli b Chahal,94,64,84,4,7,146.88,1
Rovman Powell,820351,c Sharma b Kuldeep Yadav,18,18,27,1,1,100.0,1
Jason Holder (c),391485,run out (Rayudu/Chahal),12,23,43,0,0,52.17,1
Ashley Nurse,315594,c Rayudu b Yadav,5,7,15,0,0,71.43,1
Kemar Roach,230553,not out ,0,0,3,0,0,,1
