Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Shaun Marsh,6683,c Morris b McAndrew,47,34,6,1,138.24,0
Marcus Harris,434813,st †Lenton b Bowe,22,24,3,0,91.67,0
Sam Harper †,772361,lbw b Morris,52,38,3,2,136.84,0
Beau Webster,381329,c McAndrew b Bowe,8,9,0,1,88.89,0
Dan Christian (c),4864,not out ,21,12,1,1,175.0,0
Mohammad Nabi,25913,not out ,11,3,1,1,366.67,0
Usman Khawaja,215155,c †Harper b Fekete,0,4,0,0,0.0,1
Alex Hales,249866,c Webster b Christian,31,25,2,1,124.0,1
Callum Ferguson (c),5236,run out (Fekete),7,7,1,0,100.0,1
Daniel Sams,826901,lbw b Mohammad Nabi,4,7,0,0,57.14,1
Alex Ross,333624,c Wildermuth b Christian,51,27,3,4,188.89,1
Chris Morris,439952,c Sutherland b Patel,8,4,1,0,200.0,1
Jay Lenton †,603411, b Christian,2,2,0,0,100.0,1
Nathan McAndrew,785323,not out ,10,5,1,0,200.0,1
Jonathan Cook,1137279,not out ,5,3,0,0,166.67,1
