Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Rory Burns,398778,c Marsh b Hazlewood,47,87,145,7,0,54.02,0
Joe Denly,12454,c Smith b Cummins,14,26,40,2,0,53.85,0
Joe Root (c),303669, b Cummins,57,141,218,3,0,40.43,0
Ben Stokes,311158,c Lyon b Marsh,20,36,45,2,0,55.56,0
Jonny Bairstow †,297433,lbw b Marsh,22,55,88,3,0,40.0,0
Jos Buttler,308967, b Cummins,70,98,151,7,3,71.43,0
Sam Curran,662973,c Smith b Marsh,15,13,24,1,1,115.38,0
Chris Woakes,247235,lbw b Marsh,2,5,10,0,0,40.0,0
Jofra Archer,669855,c †Paine b Hazlewood,9,16,26,2,0,56.25,0
Jack Leach,455524, b Marsh,21,43,80,3,0,48.84,0
Stuart Broad,10617,not out ,0,5,7,0,0,0.0,0
David Warner,219889,c †Bairstow b Archer,5,8,11,1,0,62.5,1
Marcus Harris,434813,c Stokes b Archer,3,15,31,0,0,20.0,1
Marnus Labuschagne,787987,lbw b Archer,48,84,127,10,0,57.14,1
Steven Smith,267192,lbw b Woakes,80,145,261,9,1,55.17,1
Matthew Wade,230193,lbw b Curran,19,31,39,2,0,61.29,1
Mitchell Marsh,272450,c Leach b Archer,17,44,51,2,0,38.64,1
Tim Paine (c)†,7252,c †Bairstow b Curran,1,15,24,0,0,6.67,1
Pat Cummins,489889,lbw b Curran,0,1,3,0,0,0.0,1
Peter Siddle,7898,c Burns b Archer,18,39,72,2,0,46.15,1
Nathan Lyon,272279, b Archer,25,30,31,4,1,83.33,1
Josh Hazlewood,288284,not out ,1,1,5,0,0,100.0,1
Rory Burns,398778,c †Paine b Lyon,20,48,76,4,0,41.67,2
Joe Denly,12454,c Smith b Siddle,94,206,295,14,1,45.63,2
Joe Root (c),303669,c Smith b Lyon,21,26,54,2,0,80.77,2
Ben Stokes,311158, b Lyon,67,115,149,5,2,58.26,2
Jonny Bairstow †,297433,c Smith b Marsh,14,24,41,3,0,58.33,2
Jos Buttler,308967,c Labuschagne b Siddle,47,63,99,6,0,74.6,2
Sam Curran,662973,c †Paine b Cummins,17,26,39,2,0,65.38,2
Chris Woakes,247235,c Smith b Marsh,6,16,31,1,0,37.5,2
Jofra Archer,669855,c †Paine b Cummins,3,9,26,0,0,33.33,2
Jack Leach,455524,c Hazlewood b Lyon,9,32,38,1,0,28.12,2
Stuart Broad,10617,not out ,12,9,14,0,2,133.33,2
Marcus Harris,434813, b Broad,9,15,21,2,0,60.0,3
David Warner,219889,c Burns b Broad,11,22,30,2,0,50.0,3
Marnus Labuschagne,787987,st †Bairstow b Leach,14,39,52,1,0,35.9,3
Steven Smith,267192,c Stokes b Broad,23,53,88,4,0,43.4,3
Matthew Wade,230193,st †Bairstow b Root,117,166,258,17,1,70.48,3
Mitchell Marsh,272450,c Buttler b Root,24,67,77,4,0,35.82,3
Tim Paine (c)†,7252,lbw b Leach,21,34,56,4,0,61.76,3
Pat Cummins,489889,c †Bairstow b Broad,9,41,61,1,0,21.95,3
Peter Siddle,7898,not out ,13,18,27,2,0,72.22,3
Nathan Lyon,272279,c Root b Leach,1,8,8,0,0,12.5,3
Josh Hazlewood,288284,c Root b Leach,0,1,3,0,0,0.0,3
