Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Usman Khawaja,215155,c Sharjeel Khan b Junaid Khan,17,21,39,1,0,80.95,0
David Warner,219889,c †Mohammad Rizwan b Junaid Khan,16,22,27,1,0,72.73,0
Steven Smith (c),267192, b Imad Wasim,60,101,155,2,0,59.41,0
Mitchell Marsh,272450,c Imad Wasim b Mohammad Amir,0,1,4,0,0,0.0,0
Travis Head,530011,c †Mohammad Rizwan b Hasan Ali,29,31,36,5,0,93.55,0
Glenn Maxwell,325026, b Imad Wasim,23,26,34,2,1,88.46,0
Matthew Wade †,230193, b Shoaib Malik,35,56,72,3,0,62.5,0
James Faulkner,270484,c Asad Shafiq b Mohammad Amir,19,21,32,2,0,90.48,0
Mitchell Starc,311592,run out (Junaid Khan),3,5,9,0,0,60.0,0
Pat Cummins,489889,c †Mohammad Rizwan b Mohammad Amir,0,3,6,0,0,0.0,0
Josh Hazlewood,288284,not out ,0,3,9,0,0,0.0,0
Mohammad Hafeez (c),41434,c Hazlewood b Faulkner,72,104,148,8,0,69.23,1
Sharjeel Khan,227762,c †Wade b Faulkner,29,32,64,4,0,90.62,1
Babar Azam,348144,c Hazlewood b Starc,34,49,75,5,0,69.39,1
Asad Shafiq,316397,c †Wade b Starc,13,29,61,0,0,44.83,1
Shoaib Malik,42657,not out ,42,52,72,5,1,80.77,1
Umar Akmal,317273,not out ,18,20,18,3,0,90.0,1
