Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Jason Roy,298438,not out ,73,57,6,1,128.07,0
Shane Watson,8180,c Hasan Ali b Wahab Riaz,8,10,1,0,80.0,0
Ahmed Shehzad,259410,c Banton b Mohammad Amir Khan,12,12,0,1,100.0,0
Sarfaraz Ahmed (c)†,227760,c Banton b Sammy,41,25,5,1,164.0,0
Azam Khan,1137262, b Wahab Riaz,5,9,0,0,55.56,0
Mohammad Nawaz,348148,c †Kamran Akmal b Rahat Ali,2,4,0,0,50.0,0
Sohail Khan,317252,not out ,2,3,0,0,66.67,0
Tom Banton,877051,c †Sarfaraz Ahmed b Mills,3,6,0,0,50.0,1
Kamran Akmal †,41028,c Roy b Fawad Ahmed,101,55,13,4,183.64,1
Haider Ali,1168651,c †Sarfaraz Ahmed b Sohail Khan,25,28,2,1,89.29,1
Shoaib Malik,42657,c Mohammad Nawaz b Fawad Ahmed,7,12,1,0,58.33,1
Liam Livingstone,403902,not out ,8,5,0,1,160.0,1
Liam Dawson,211855,not out ,5,5,0,0,100.0,1
