Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Cameron Boyce,326625,c Jordan b Sams,0,2,0,0,0.0,0
Aaron Finch (c),5334,c Green b Sandhu,54,38,2,4,142.11,0
Sam Harper †,772361, b Sandhu,12,9,1,0,133.33,0
Tom Cooper,219885,c Devcich b Fawad Ahmed,22,26,2,0,84.62,0
Cameron White,8291,c Watson b Sams,40,29,1,2,137.93,0
Dan Christian,4864,c Sangha b Sams,6,4,1,0,150.0,0
Mohammad Nabi,25913,c †Lenton b Sandhu,4,4,1,0,100.0,0
Mackenzie Harvey,1076382,run out (†Lenton/Jordan),3,3,0,0,100.0,0
Chris Tremain,553800, b Jordan,4,4,1,0,100.0,0
Kane Richardson,272262,not out ,1,1,0,0,100.0,0
Anton Devcich,36948,c Boyce b Richardson,0,3,0,0,0.0,1
Shane Watson (c),8180,c Finch b Gurney,1,5,0,0,20.0,1
Callum Ferguson,5236,c Christian b Boyce,52,36,7,0,144.44,1
Jason Sangha,959827,not out ,54,49,3,1,110.2,1
Chris Green,787073,c Christian b Gurney,7,8,0,0,87.5,1
Daniel Sams,826901,c Harvey b Richardson,2,4,0,0,50.0,1
Jay Lenton †,603411,not out ,20,15,1,0,133.33,1
