Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Rohit Sharma,34102,c Walsh b Williams,71,34,6,5,208.82,0
KL Rahul,422108,c †Pooran b Cottrell,91,56,9,4,162.5,0
Rishabh Pant †,931581,c Holder b Pollard,0,2,0,0,0.0,0
Virat Kohli (c),253802,not out ,70,29,4,7,241.38,0
Shreyas Iyer,642519,not out ,0,0,0,0,,0
Lendl Simmons,53116,c Iyer b Mohammed Shami,7,11,1,0,63.64,1
Brandon King,670035,c Rahul b Kumar,5,4,1,0,125.0,1
Shimron Hetmyer,670025,c Rahul b Kuldeep Yadav,41,24,1,5,170.83,1
Nicholas Pooran †,604302,c Dube b Chahar,0,1,0,0,0.0,1
Kieron Pollard (c),230559,c sub (RA Jadeja) b Kumar,68,39,5,6,174.36,1
Jason Holder,391485,c sub (MK Pandey) b Kuldeep Yadav,8,5,1,0,160.0,1
Hayden Walsh,443263, b Mohammed Shami,11,13,1,0,84.62,1
Khary Pierre,581160,c sub (RA Jadeja) b Chahar,6,12,0,0,50.0,1
Kesrick Williams,450075,not out ,13,7,1,1,185.71,1
Sheldon Cottrell,495551,not out ,4,4,1,0,100.0,1
