Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Shubman Gill,1070173,lbw b HH Pandya,9,16,29,0,0,56.25,0
Chris Lynn,326637,c †de Kock b HH Pandya,41,29,41,2,4,141.38,0
Robin Uthappa,35582,c Sharma b Bumrah,40,47,71,1,3,85.11,0
Dinesh Karthik (c)†,30045,c KH Pandya b Malinga,3,9,20,0,0,33.33,0
Andre Russell,276298,c †de Kock b Malinga,0,1,3,0,0,0.0,0
Nitish Rana,604527,c Pollard b Malinga,26,13,24,0,3,200.0,0
Rinku Singh,723105,c HH Pandya b Bumrah,4,6,17,0,0,66.67,0
Sunil Narine,230558,not out ,0,0,2,0,0,,0
Quinton de Kock †,379143,c †Karthik b Prasidh Krishna,30,23,33,1,3,130.43,1
Rohit Sharma (c),34102,not out ,55,48,77,8,0,114.58,1
Suryakumar Yadav,446507,not out ,46,27,45,5,2,170.37,1
