Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Jake Weatherald,781285,c †Inglis b Hardie,6,10,1,0,60.0,0
Phil Salt,669365,c Livingstone b Richardson,4,2,1,0,200.0,0
Matt Renshaw,722303,c Behrendorff b Hardie,19,17,2,0,111.76,0
Alex Carey (c)†,326434,c Tye b Richardson,82,59,12,1,138.98,0
Jonathan Wells,233680,run out (Roy/†Inglis),2,4,0,0,50.0,0
Matthew Short,605575,c Roy b Fawad Ahmed,6,7,0,0,85.71,0
Rashid Khan,793463,c Richardson b Tye,8,9,0,0,88.89,0
Daniel Worrall,557298,c Turner b Richardson,1,3,0,0,33.33,0
Danny Briggs,310107,run out (Fawad Ahmed/†Inglis),10,8,1,0,125.0,0
Wes Agar,959833,not out ,1,2,0,0,50.0,0
Jason Roy,298438,c Rashid Khan b Agar,49,32,7,1,153.12,1
Liam Livingstone,403902,c †Carey b Agar,8,13,1,0,61.54,1
Colin Munro,232359,lbw b Rashid Khan,6,6,1,0,100.0,1
Josh Inglis †,662235,not out ,44,31,6,0,141.94,1
Mitchell Marsh,272450,not out ,38,24,4,1,158.33,1
