Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Mohammad Shahzad †,419873,lbw b O'Brien,1,2,2,0,0,50.0,0
Usman Ghani,711559,c Mulder b O'Brien,3,16,24,0,0,18.75,0
Rahmat Shah,533956,c †Wilson b O'Brien,0,4,10,0,0,0.0,0
Asghar Afghan (c),320652,c Balbirnie b McBrine,35,55,85,5,0,63.64,0
Hashmatullah Shahidi,440970, b Mulder,23,45,50,3,0,51.11,0
Gulbadin Naib,352048,lbw b Mulder,2,9,11,0,0,22.22,0
Mohammad Nabi,25913,c Thompson b O'Brien,41,64,85,3,0,64.06,0
Rashid Khan,793463,lbw b McBrine,0,1,1,0,0,0.0,0
Shafiqullah,362603,lbw b Mulder,42,42,28,8,0,100.0,0
Dawlat Zadran,516561,not out ,41,53,58,3,1,77.36,0
Amir Hamza,402245,c †Wilson b Murtagh,7,8,15,0,1,87.5,0
Ed Joyce,24249, b Gulbadin Naib,24,42,57,3,0,57.14,1
Paul Stirling,303427,c Shafiqullah b Mohammad Nabi,28,30,38,4,1,93.33,1
William Porterfield (c),24611,st †Mohammad Shahzad b Mohammad Nabi,6,14,24,0,0,42.86,1
Andy Balbirnie,303423, b Mohammad Nabi,22,36,52,2,0,61.11,1
Kevin O'Brien,24605,not out ,72,60,67,8,2,120.0,1
Gary Wilson †,24609,c Mohammad Nabi b Rashid Khan,41,67,96,3,0,61.19,1
Stuart Thompson,414821, b Rashid Khan,8,14,8,1,0,57.14,1
Andy McBrine,417381, b Mohammad Nabi,5,8,6,0,0,62.5,1
George Dockrell,348034,not out ,5,10,17,0,0,50.0,1
