Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Sunil Narine,230558,c & b Bird,4,4,1,0,100.0,0
Aaron Finch (c),5334,c Bird b Botha,57,44,3,1,129.55,0
Cameron White,8291,c Bird b Dwarshuis,19,13,2,1,146.15,0
Tom Cooper,219885,c †Haddin b Dwarshuis,39,24,4,1,162.5,0
Callum Ferguson,5236,c Maddinson b Abbott,39,25,1,2,156.0,0
Thisara Perera,233514,c Maddinson b Dwarshuis,6,6,1,0,100.0,0
Matthew Short,605575,not out ,5,4,0,0,125.0,0
Daniel Hughes,571761,c Perera b Narine,41,29,6,1,141.38,1
Michael Lumb,16406,c Narine b Perera,31,22,4,0,140.91,1
Nic Maddinson,333780,st †Nevill b Narine,26,17,1,1,152.94,1
Moises Henriques (c),5961,c Ferguson b Perera,30,20,2,1,150.0,1
Brad Haddin †,5560,not out ,31,23,3,0,134.78,1
Jordan Silk,437669,not out ,6,7,0,0,85.71,1
