Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Peter Moor †,333000,c Noor Ali Zadran b Gulbadin Naib,10,35,35,1,0,28.57,0
Solomon Mire,290462,c Rashid Khan b Fareed Ahmad,4,8,13,0,0,50.0,0
Tarisai Musakanda,596375,c Rashid Khan b Fareed Ahmad,60,74,113,6,1,81.08,0
Craig Ervine,55412, b Gulbadin Naib,0,1,1,0,0,0.0,0
Sean Williams,55870,c Najibullah Zadran b Gulbadin Naib,5,13,17,0,0,38.46,0
Ryan Burl,495964,c Fareed Ahmad b Gulbadin Naib,3,9,9,0,0,33.33,0
Malcolm Waller,55872,not out ,36,45,80,4,0,80.0,0
Graeme Cremer (c),55346,st †Mohammad Shahzad b Rashid Khan,0,4,4,0,0,0.0,0
Tendai Chatara,425639,c Mohammad Nabi b Rashid Khan,0,1,1,0,0,0.0,0
Richard Ngarava,806241,c Amir Hamza b Mohammad Nabi,0,4,4,0,0,0.0,0
Chris Mpofu,55633,c Mohammad Nabi b Rashid Khan,1,3,6,0,0,33.33,0
Mohammad Shahzad †,419873,c Musakanda b Chatara,20,17,22,2,1,117.65,1
Noor Ali Zadran,318340,c Cremer b Ngarava,0,1,4,0,0,0.0,1
Rahmat Shah,533956,c Mire b Chatara,10,24,31,0,0,41.67,1
Asghar Afghan (c),320652,c †Moor b Chatara,31,33,43,3,0,93.94,1
Samiullah Shinwari,318339,c †Moor b Mpofu,29,47,71,1,0,61.7,1
Gulbadin Naib,352048,c & b Williams,16,32,32,2,0,50.0,1
Mohammad Nabi,25913, b Williams,11,8,16,0,1,137.5,1
Najibullah Zadran,524049,c †Moor b Mpofu,0,1,1,0,0,0.0,1
Rashid Khan,793463,c †Moor b Mpofu,2,2,7,0,0,100.0,1
Amir Hamza,402245,c Ngarava b Williams,2,7,10,0,0,28.57,1
Fareed Ahmad,568136,not out ,0,5,6,0,0,0.0,1
