Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Rohit Sharma (c),34102,c Mohammad Nabi b Ahmed,24,18,25,5,0,133.33,0
Quinton de Kock †,379143,not out ,69,58,106,6,2,118.97,0
Suryakumar Yadav,446507,c Rashid Khan b Ahmed,23,17,31,3,1,135.29,0
Evin Lewis,431901,c Shankar b Mohammad Nabi,1,6,6,0,0,16.67,0
Hardik Pandya,625371,c Mohammad Nabi b Kumar,18,10,20,1,1,180.0,0
Kieron Pollard,230559,c Abhishek Sharma b Ahmed,10,9,20,0,1,111.11,0
Krunal Pandya,471342,not out ,9,3,5,0,1,300.0,0
Wriddhiman Saha †,279810,c Lewis b Bumrah,25,15,20,5,0,166.67,1
Martin Guptill,226492,lbw b Bumrah,15,11,28,1,1,136.36,1
Manish Pandey,290630,not out ,71,47,84,8,2,151.06,1
Kane Williamson (c),277906,lbw b KH Pandya,3,7,14,0,0,42.86,1
Vijay Shankar,477021,c Pollard b KH Pandya,12,17,21,0,0,70.59,1
Abhishek Sharma,1070183,c †de Kock b HH Pandya,2,3,8,0,0,66.67,1
Mohammad Nabi,25913,c Yadav b HH Pandya,31,20,33,2,2,155.0,1
Rashid Khan,793463,not out ,0,0,3,0,0,,1
