Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Max Bryant,1088608,c †Dunk b Coulter-Nile,20,20,1,1,100.0,0
Sam Heazlett,826679,lbw b Hinchliffe,14,13,2,0,107.69,0
Chris Lynn (c),326637,c Hinchliffe b Coulter-Nile,20,20,1,1,100.0,0
Dan Lawrence,641423,run out (Cartwright),8,7,1,0,114.29,0
Tom Cooper,219885, b Dilbar Hussain,26,24,1,2,108.33,0
Jimmy Peirson †,444970,c Maxwell b Coulter-Nile,18,21,1,0,85.71,0
Simon Milenko,326639,c Cartwright b Dilbar Hussain,0,1,0,0,0.0,0
Jack Wood,1210733,run out (Coulter-Nile),2,3,0,0,66.67,0
Xavier Bartlett,1050545,run out (Coulter-Nile),2,3,0,0,66.67,0
Matthew Kuhnemann,774219,c Stoinis b Coulter-Nile,9,8,1,0,112.5,0
Ben Laughlin,315623,not out ,0,0,0,0,,0
Marcus Stoinis,325012,c †Peirson b Bartlett,0,2,0,0,0.0,1
Andre Fletcher,51862,c & b Kuhnemann,12,11,1,1,109.09,1
Hilton Cartwright,557295,not out ,46,42,4,1,109.52,1
Ben Dunk †,388678,c Laughlin b Wood,6,10,0,0,60.0,1
Glenn Maxwell (c),325026, b Wood,46,26,3,3,176.92,1
Nick Larkin,533870,not out ,16,12,1,1,133.33,1
