Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Jean-Paul Duminy,44932,not out ,73,54,6,4,135.19,0
Luke Ronchi †,7502,c Dawson b Wahab Riaz,27,17,6,0,158.82,0
Hussain Talat,628240, b Wahab Riaz,29,24,2,1,120.83,0
Shadab Khan,922943,run out (Mohammad Hafeez/†Kamran Akmal),0,0,0,0,,0
Asif Ali,494230, b Wahab Riaz,45,24,2,4,187.5,0
Faheem Ashraf,681117,run out (†Kamran Akmal),1,1,0,0,100.0,0
Kamran Akmal †,41028,lbw b Patel,22,17,3,1,129.41,1
Andre Fletcher,51862,c Faheem Ashraf b Patel,19,18,1,1,105.56,1
Dwayne Smith,53118, b Patel,8,9,1,0,88.89,1
Mohammad Hafeez,41434,lbw b Zafar Gohar,13,11,1,1,118.18,1
Khushdil Shah,716733,c Hussain Talat b Shadab Khan,8,11,1,0,72.73,1
Liam Dawson,211855, b Zafar Gohar,1,4,0,0,25.0,1
Daren Sammy (c),53115, b Zafar Gohar,0,2,0,0,0.0,1
Hasan Ali,681305,c Duminy b Patel,15,7,1,1,214.29,1
Wahab Riaz,43590,not out ,33,25,5,0,132.0,1
Umaid Asif,429122,c Patel b Faheem Ashraf,25,17,1,2,147.06,1
Ibtisam Sheikh,1123377,not out ,0,0,0,0,,1
