Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Alex Carey †,326434,c Swepson b Cutting,24,24,4,0,100.0,0
Jake Weatherald,781285,c Lynn b Renshaw,1,2,0,0,50.0,0
Jake Lehmann,437448,c Ross b Lalor,0,1,0,0,0.0,0
Colin Ingram (c),45705,c McCullum b Lalor,28,21,0,3,133.33,0
Jonathan Wells,233680, b Swepson,30,27,0,1,111.11,0
Harry Nielsen,713195,c Swepson b Prestwidge,21,16,2,0,131.25,0
Michael Neser,376169,c Ross b Prestwidge,18,13,2,1,138.46,0
Rashid Khan,793463,c Kuhnemann b Lalor,19,6,2,1,316.67,0
Cameron Valente,605576,not out ,19,8,3,0,237.5,0
Peter Siddle,7898,not out ,7,2,0,1,350.0,0
Max Bryant,1088608,lbw b Siddle,10,6,2,0,166.67,1
Ben Cutting,230371,c Rashid Khan b Siddle,1,2,0,0,50.0,1
Chris Lynn (c),326637,c †Carey b Valente,0,2,0,0,0.0,1
Brendon McCullum,37737,lbw b Rashid Khan,51,39,6,1,130.77,1
Matt Renshaw,722303,not out ,90,50,9,4,180.0,1
Alex Ross,333624,not out ,25,13,1,2,192.31,1
