Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Chris Lynn,326637,c †Rahul b Tye,74,41,6,4,180.49,0
Sunil Narine,230558,c Nair b Mujeeb Ur Rahman,1,4,0,0,25.0,0
Robin Uthappa,35582,c Nair b Ashwin,34,23,5,1,147.83,0
Nitish Rana,604527,run out (†Rahul/Rajpoot),3,5,0,0,60.0,0
Dinesh Karthik (c)†,30045,c Tye b Sran,43,28,6,0,153.57,0
Andre Russell,276298,c Nair b Sran,10,7,2,0,142.86,0
Shubman Gill,1070173,not out ,14,8,2,0,175.0,0
Tom Curran,550235,c Rajpoot b Tye,1,3,0,0,33.33,0
Piyush Chawla,32966,not out ,2,2,0,0,100.0,0
KL Rahul †,422108,c Curran b Narine,60,27,9,2,222.22,1
Chris Gayle,51880,not out ,62,38,5,6,163.16,1
Mayank Agarwal,398438,not out ,2,2,0,0,100.0,1
