Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Tamim Iqbal,56194,c †Dowrich b Roach,4,13,0,0,30.77,0
Liton Das,536936,c Chase b Cummins,25,53,2,0,47.17,0
Mominul Haque,373696,c Hope b Roach,1,3,0,0,33.33,0
Mushfiqur Rahim,56029,lbw b Roach,0,2,0,0,0.0,0
Shakib Al Hasan (c),56143,c Holder b Roach,0,2,0,0,0.0,0
Mahmudullah,56025,c †Dowrich b Roach,0,1,0,0,0.0,0
Nurul Hasan †,410765,c Holder b Cummins,4,10,0,0,40.0,0
Mehidy Hasan Miraz,629063,c Smith b Cummins,1,8,0,0,12.5,0
Kamrul Islam,375724,c †Dowrich b Holder,0,3,0,0,0.0,0
Rubel Hossain,300619,not out ,6,10,1,0,60.0,0
Abu Jayed,410763, b Holder,2,7,0,0,28.57,0
Kraigg Brathwaite,348024,c Mehidy Hasan Miraz b Shakib Al Hasan,121,291,11,0,41.58,1
Devon Smith,52962,c †Nurul Hasan b Abu Jayed,58,123,7,0,47.15,1
Kieran Powell,252932,c Liton Das b Mahmudullah,48,65,7,0,73.85,1
Devendra Bishoo,341593, b Kamrul Islam Rabbi,19,79,2,0,24.05,1
Shai Hope,581379,c Tamim Iqbal b Abu Jayed,67,127,3,1,52.76,1
Roston Chase,391832,lbw b Mehidy Hasan Miraz,2,10,0,0,20.0,1
Shane Dowrich †,431905,c Liton Das b Shakib Al Hasan,4,17,1,0,23.53,1
Jason Holder (c),391485,c Liton Das b Mehidy Hasan Miraz,33,46,2,2,71.74,1
Kemar Roach,230553,lbw b Mehidy Hasan Miraz,33,50,6,1,66.0,1
Miguel Cummins,556749,not out ,1,12,0,0,8.33,1
Shannon Gabriel,446101,c Shakib Al Hasan b Abu Jayed,5,6,0,0,83.33,1
Tamim Iqbal,56194,c Hope b Gabriel,13,15,2,0,86.67,2
Liton Das,536936,c Brathwaite b Holder,2,17,0,0,11.76,2
Mominul Haque,373696, b Gabriel,0,2,0,0,0.0,2
Mushfiqur Rahim,56029, b Gabriel,8,11,2,0,72.73,2
Shakib Al Hasan (c),56143,c Holder b Gabriel,12,18,2,0,66.67,2
Mahmudullah,56025,c Chase b Holder,15,30,2,0,50.0,2
Mehidy Hasan Miraz,629063,c †Dowrich b Holder,2,10,0,0,20.0,2
Nurul Hasan †,410765,c & b Cummins,64,74,6,2,86.49,2
Kamrul Islam,375724, b Gabriel,7,28,1,0,25.0,2
Rubel Hossain,300619, b Cummins,16,33,1,0,48.48,2
Abu Jayed,410763,not out ,0,5,0,0,0.0,2
