Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Alex Carey †,326434, b Lalor,2,6,0,0,33.33,0
Jake Weatherald,781285, b Lalor,20,15,2,1,133.33,0
Travis Head (c),530011, b Yasir Shah,13,18,0,0,72.22,0
Colin Ingram,45705,c Gannon b Yasir Shah,23,22,2,0,104.55,0
Jonathan Wells,233680,c McCullum b Gannon,12,13,1,0,92.31,0
Jake Lehmann,437448,c Burns b Steketee,22,17,3,0,129.41,0
Michael Neser,376169,not out ,40,26,3,2,153.85,0
Rashid Khan,793463,c Lynn b Lalor,6,2,0,1,300.0,0
Peter Siddle,7898,not out ,1,1,0,0,100.0,0
Jimmy Peirson †,444970,c Lehmann b Head,7,5,1,0,140.0,1
Brendon McCullum (c),37737,c Lehmann b Neser,15,21,1,0,71.43,1
Chris Lynn,326637,c †Carey b Rashid Khan,0,3,0,0,0.0,1
Joe Burns,326632,c Rashid Khan b Stanlake,1,2,0,0,50.0,1
Alex Ross,333624, b Neser,1,2,0,0,50.0,1
Ben Cutting,230371,c Ingram b Laughlin,14,13,2,0,107.69,1
Cameron Gannon,326635, b Rashid Khan,23,28,3,0,82.14,1
Josh Lalor,272385,run out (Siddle),9,10,1,0,90.0,1
Mark Steketee,555853, b Laughlin,2,5,0,0,40.0,1
Yasir Shah,43685,not out ,6,8,0,0,75.0,1
Mitchell Swepson,590326,c Weatherald b Laughlin,0,1,0,0,0.0,1
