Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Shreevats Goswami †,302579,run out (Sharma/†Dhoni),5,5,0,0,100.0,0
Shikhar Dhawan,28235, b Jadeja,26,25,2,1,104.0,0
Kane Williamson (c),277906,st †Dhoni b Sharma,47,36,5,2,130.56,0
Shakib Al Hasan,56143,c Raina b Bravo,23,15,2,1,153.33,0
Yusuf Pathan,32498,not out ,45,25,4,2,180.0,0
Deepak Hooda,497121,c sub (DR Shorey) b Ngidi,3,4,0,0,75.0,0
Carlos Brathwaite,457249,c Rayudu b Thakur,21,11,0,3,190.91,0
Shane Watson,8180,not out ,117,57,11,8,205.26,1
Faf du Plessis,44828,c & b Sandeep Sharma,10,11,1,0,90.91,1
Suresh Raina,33335,c †Goswami b Brathwaite,32,24,3,1,133.33,1
Ambati Rayudu,33141,not out ,16,19,1,1,84.21,1
