Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
KL Rahul,422108,c Cornwall b Holder,13,26,35,2,0,50.0,0
Mayank Agarwal,398438,c Cornwall b Holder,55,127,167,7,0,43.31,0
Cheteshwar Pujara,32540,c Brooks b Cornwall,6,25,42,0,0,24.0,0
Virat Kohli (c),253802,c †Hamilton b Holder,76,163,211,10,0,46.63,0
Ajinkya Rahane,277916,c †Hamilton b Roach,24,55,78,4,0,43.64,0
Hanuma Vihari,452044,c Roach b Holder,111,225,341,16,0,49.33,0
Rishabh Pant †,931581, b Holder,27,65,75,2,1,41.54,0
Ravindra Jadeja,234675,c Bravo b Cornwall,16,69,88,3,0,23.19,0
Ishant Sharma,236779,c Hetmyer b Brathwaite,57,80,126,7,0,71.25,0
Mohammed Shami,481896,c †Hamilton b Cornwall,0,2,5,0,0,0.0,0
Jasprit Bumrah,625383,not out ,0,4,4,0,0,0.0,0
Kraigg Brathwaite,348024,c †Pant b Bumrah,10,38,75,1,0,26.32,1
John Campbell,348026,c †Pant b Bumrah,2,16,32,0,0,12.5,1
Darren Bravo,277472,c Rahul b Bumrah,4,8,9,0,0,50.0,1
Shamarh Brooks,230555,lbw b Bumrah,0,1,2,0,0,0.0,1
Roston Chase,391832,lbw b Bumrah,0,1,4,0,0,0.0,1
Shimron Hetmyer,670025, b Mohammed Shami,34,57,85,7,0,59.65,1
Jason Holder (c),391485,c sub (RG Sharma) b Bumrah,18,38,73,2,0,47.37,1
Jahmar Hamilton †,332937,c Kohli b Sharma,5,59,100,0,0,8.47,1
Rahkeem Cornwall,494581,c Rahane b Mohammed Shami,14,31,40,2,0,45.16,1
Kemar Roach,230553,c Agarwal b Jadeja,17,31,53,3,0,54.84,1
Shannon Gabriel,446101,not out ,0,3,5,0,0,0.0,1
KL Rahul,422108,c †Hamilton b Roach,6,63,85,1,0,9.52,2
Mayank Agarwal,398438,lbw b Roach,4,15,22,1,0,26.67,2
Cheteshwar Pujara,32540,c Brooks b Holder,27,66,105,3,0,40.91,2
Virat Kohli (c),253802,c †Hamilton b Roach,0,1,3,0,0,0.0,2
Ajinkya Rahane,277916,not out ,64,109,139,8,1,58.72,2
Hanuma Vihari,452044,not out ,53,76,99,8,0,69.74,2
John Campbell,348026,c Kohli b Mohammed Shami,16,26,42,2,0,61.54,3
Kraigg Brathwaite,348024,c †Pant b Sharma,3,7,14,0,0,42.86,3
Darren Bravo,277472,retired hurt ,23,41,67,4,0,56.1,3
Shamarh Brooks,230555,run out (Kohli),50,119,200,9,0,42.02,3
Roston Chase,391832,lbw b Jadeja,12,36,56,2,0,33.33,3
Shimron Hetmyer,670025,c Agarwal b Sharma,1,5,8,0,0,20.0,3
Jermaine Blackwood,431909,c †Pant b Bumrah,38,72,74,4,1,52.78,3
Jason Holder (c),391485, b Jadeja,39,35,53,9,0,111.43,3
Jahmar Hamilton †,332937,c Rahul b Jadeja,0,2,4,0,0,0.0,3
Rahkeem Cornwall,494581,c †Pant b Mohammed Shami,1,2,8,0,0,50.0,3
Kemar Roach,230553,c †Pant b Mohammed Shami,5,14,17,1,0,35.71,3
Shannon Gabriel,446101,not out ,0,1,4,0,0,0.0,3
