Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Paul Stirling,303427, b Wahab Riaz,1,2,5,0,0,50.0,0
Alex Hales,249866,c sub (Mohammad Imran) b Mahmood,41,27,56,5,1,151.85,0
Phil Salt †,669365, b Mahmood,9,11,20,1,0,81.82,0
Faheem Ashraf,681117,c Kohler-Cadmore b Umaid Asif,2,4,6,0,0,50.0,0
Shadab Khan (c),922943,run out (Imam-ul-Haq/†Kamran Akmal),6,5,8,1,0,120.0,0
Hussain Talat,628240,lbw b Mujeeb Ur Rahman,22,15,26,2,0,146.67,0
Iftikhar Ahmed,480603,c Kohler-Cadmore b Wahab Riaz,7,12,23,0,0,58.33,0
Asif Ali,494230,c Shoaib Malik b Wahab Riaz,19,12,20,0,2,158.33,0
Hasan Ali,681305,lbw b Wahab Riaz,7,10,15,0,0,70.0,0
Mohammad Wasim,1185538,c †Kamran Akmal b Mahmood,1,2,16,0,0,50.0,0
Fawad Ahmed,240609,not out ,0,3,5,0,0,0.0,0
Imam-ul-Haq,568276,c Faheem Ashraf b Hasan Ali,0,3,5,0,0,0.0,1
Kamran Akmal †,41028,lbw b Mohammad Wasim,3,4,13,0,0,75.0,1
Tom Kohler-Cadmore,470633,c †Salt b Fawad Ahmed,46,46,52,4,2,100.0,1
Shoaib Malik,42657,not out ,29,30,69,1,1,96.67,1
Haider Ali,1168651,c †Salt b Hasan Ali,36,18,24,3,3,200.0,1
Sherfane Rutherford,914541,not out ,6,2,4,0,0,300.0,1
