Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Danushka Gunathilaka,345821,c Sabbir Rahman b Shakib Al Hasan,4,7,0,0,57.14,0
Kusal Mendis,629074,c Soumya Sarkar b Mustafizur Rahman,11,14,2,0,78.57,0
Kusal Perera †,300631,c Mehidy Hasan Miraz b Soumya Sarkar,61,40,7,1,152.5,0
Upul Tharanga,50747,run out (Mehidy Hasan Miraz/Mustafizur Rahman),5,5,1,0,100.0,0
Dasun Shanaka,437316,c †Mushfiqur Rahim b Mustafizur Rahman,0,1,0,0,0.0,0
Jeevan Mendis,49700,c Mustafizur Rahman b Mehidy Hasan Miraz,3,11,0,0,27.27,0
Thisara Perera (c),233514,c Tamim Iqbal b Rubel Hossain,58,37,3,3,156.76,0
Isuru Udana,328026,not out ,7,4,0,0,175.0,0
Akila Dananjaya,574178,not out ,1,1,0,0,100.0,0
Tamim Iqbal,56194,c †MDKJ Perera b Gunathilaka,50,42,4,2,119.05,1
Liton Das,536936,c NLTC Perera b Dananjaya,0,3,0,0,0.0,1
Sabbir Rahman,373538,st †MDKJ Perera b Dananjaya,13,8,3,0,162.5,1
Mushfiqur Rahim †,56029,c NLTC Perera b Aponso,28,25,2,0,112.0,1
Soumya Sarkar,436677,c †MDKJ Perera b BMAJ Mendis,10,11,0,0,90.91,1
Mahmudullah,56025,not out ,43,18,3,2,238.89,1
Shakib Al Hasan (c),56143,c Dananjaya b Udana,7,9,0,0,77.78,1
Mehidy Hasan Miraz,629063,run out (Shanaka),0,1,0,0,0.0,1
Mustafizur Rahman,330902,run out (†MDKJ Perera/Udana),0,2,0,0,0.0,1
Rubel Hossain,300619,not out ,0,0,0,0,,1
