Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Chris Gayle,51880, b Kumar,1,4,6,0,0,25.0,0
Virat Kohli (c),253802, b Kumar,75,51,73,7,3,147.06,0
AB de Villiers,44936,c Morgan b Mustafizur Rahman,82,42,75,7,6,195.24,0
Shane Watson,8180,c †Ojha b Mustafizur Rahman,19,8,10,0,3,237.5,0
Sarfaraz Khan,642525,not out ,35,10,15,5,2,350.0,0
Kedar Jadhav †,290716,not out ,8,6,13,1,0,133.33,0
David Warner (c),219889,c Milne b Watson,58,25,43,4,5,232.0,1
Shikhar Dhawan,28235, b Parvez Rasool,8,9,15,1,0,88.89,1
Moises Henriques,5961,c Parvez Rasool b Milne,19,23,38,2,0,82.61,1
Naman Ojha †,32102,c de Villiers b Chahal,0,4,5,0,0,0.0,1
Deepak Hooda,497121,c de Villiers b Chahal,6,6,10,1,0,100.0,1
Eoin Morgan,24598,not out ,22,18,47,2,0,122.22,1
Ashish Reddy,389605, b Watson,32,18,18,2,3,177.78,1
Karn Sharma,30288,not out ,26,17,22,3,1,152.94,1
