Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Brendan Taylor †,55814,c Mahmudullah b Taijul Islam,6,5,1,0,120.0,0
Hamilton Masakadza (c),55608,c Sabbir Rahman b Mohammad Saifuddin,34,26,5,1,130.77,0
Craig Ervine,55412,c Mosaddek Hossain b Mustafizur Rahman,11,14,1,0,78.57,0
Sean Williams,55870,c & b Mosaddek Hossain,2,3,0,0,66.67,0
Timycen Maruma,235524,run out (Shakib Al Hasan/Mustafizur Rahman),1,2,0,0,50.0,0
Ryan Burl,495964,not out ,57,32,5,4,178.12,0
Tinotenda Mutombodzi,333001,not out ,27,26,1,1,103.85,0
Liton Das,536936, b Chatara,19,14,1,1,135.71,1
Soumya Sarkar,436677,c Madziva b Jarvis,4,7,0,0,57.14,1
Shakib Al Hasan (c),56143,c Masakadza b Chatara,1,3,0,0,33.33,1
Mushfiqur Rahim †,56029,c †Taylor b Jarvis,0,1,0,0,0.0,1
Mahmudullah,56025,lbw b Burl,14,16,2,0,87.5,1
Sabbir Rahman,373538,c Burl b Madziva,15,15,1,0,100.0,1
Mosaddek Hossain,550133,not out ,30,24,0,2,125.0,1
Afif Hossain,935995,c Masakadza b Madziva,52,26,8,1,200.0,1
Mohammad Saifuddin,629070,not out ,6,2,1,0,300.0,1
