Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Sam Harper †,772361,c Jewell b Faulkner,0,3,0,0,0.0,0
Aaron Finch (c),5334,c Milenko b Meredith,50,37,6,0,135.14,0
Shaun Marsh,6683,c Miller b Ellis,37,30,5,1,123.33,0
Marcus Harris,434813,c Jewell b Faulkner,20,15,0,1,133.33,0
Beau Webster,381329,lbw b Qais Ahmad,11,11,0,0,100.0,0
Dan Christian,4864,c †McDermott b Meredith,12,7,2,0,171.43,0
Tom Cooper,219885,lbw b Meredith,1,2,0,0,50.0,0
Cameron Boyce,326625,c Meredith b Ellis,5,5,0,0,100.0,0
Kane Richardson,272262,c Meredith b Faulkner,2,3,0,0,66.67,0
Richard Gleeson,473191, b Ellis,0,1,0,0,0.0,0
Harry Gurney,244639,not out ,0,1,0,0,0.0,0
D'Arcy Short,308798,lbw b Boyce,60,45,7,1,133.33,1
Simon Milenko,326639,c Finch b Cooper,0,6,0,0,0.0,1
Caleb Jewell,834741,c †Harper b Cooper,0,1,0,0,0.0,1
Ben McDermott (c)†,603410,not out ,51,48,1,0,106.25,1
David Miller,321777,not out ,25,15,0,2,166.67,1
