Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Alex Doolan,233648,c Hogg b Bravo,26,21,5,0,123.81,0
D'Arcy Short,308798,lbw b Hogg,34,19,4,1,178.95,0
Ben McDermott,603410,c Finch b Bravo,34,24,2,2,141.67,0
George Bailey (c),4451,st †Ludeman b Mohammad Nabi,25,24,2,0,104.17,0
Dan Christian,4864,c Cooper b Richardson,23,18,0,1,127.78,0
Matthew Wade †,230193,c †Ludeman b Bravo,15,10,0,1,150.0,0
Jofra Archer,669855,c Richardson b Bravo,1,2,0,0,50.0,0
Cameron Boyce,326625,c Mohammad Nabi b Bravo,4,2,1,0,200.0,0
Clive Rose,288285,not out ,0,0,0,0,,0
Aaron Finch (c),5334,c †Wade b Rose,4,2,1,0,200.0,1
Marcus Harris,434813,c Boyce b Archer,50,34,6,1,147.06,1
Cameron White,8291,not out ,79,59,8,2,133.9,1
Tom Cooper,219885,c †Wade b Archer,0,4,0,0,0.0,1
Brad Hodge,5674,not out ,22,14,1,2,157.14,1
