Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Jason Roy,298438,c Finch b Stanlake,44,26,6,0,169.23,0
Jos Buttler †,308967,c Short b Swepson,61,30,6,5,203.33,0
Eoin Morgan (c),24598,c Tye b Swepson,15,8,1,1,187.5,0
Alex Hales,249866,c & b Stoinis,49,24,5,2,204.17,0
Joe Root,303669,run out (†Carey/Tye),35,24,4,0,145.83,0
Jonny Bairstow,297433,not out ,14,8,0,2,175.0,0
Moeen Ali,8917,not out ,0,0,0,0,,0
D'Arcy Short,308798,c Ali b Plunkett,16,12,3,0,133.33,1
Aaron Finch (c),5334,c Jordan b Rashid,84,41,7,6,204.88,1
Glenn Maxwell,325026, b Jordan,10,7,1,0,142.86,1
Travis Head,530011,c Hales b Ali,15,10,1,0,150.0,1
Alex Carey †,326434, b Rashid,3,3,0,0,100.0,1
Marcus Stoinis,325012,c Roy b Rashid,0,2,0,0,0.0,1
Ashton Agar,505120, b Jordan,29,23,3,1,126.09,1
Andrew Tye,459508,c Plunkett b Willey,20,11,0,2,181.82,1
Kane Richardson,272262,c Hales b Jordan,0,1,0,0,0.0,1
Mitchell Swepson,590326,not out ,3,4,0,0,75.0,1
Billy Stanlake,533042,c Morgan b Plunkett,7,5,0,1,140.0,1
