Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Mohammad Shahzad †,419873,c Jarvis b Muzarabani,17,22,3,0,77.27,0
Karim Sadiq,319758,st †Taylor b Cremer,28,30,2,1,93.33,0
Asghar Afghan (c),320652, b Cremer,27,14,1,3,192.86,0
Mohammad Nabi,25913,c Waller b Chatara,45,26,2,4,173.08,0
Najibullah Zadran,524049,c Burl b Muzarabani,24,18,4,0,133.33,0
Shafiqullah,362603,c Sikandar Raza b Chatara,0,1,0,0,0.0,0
Sharafuddin Ashraf,633362,c Burl b Chatara,1,3,0,0,33.33,0
Gulbadin Naib,352048,not out ,2,3,0,0,66.67,0
Rashid Khan,793463,c Muzarabani b Jarvis,0,3,0,0,0.0,0
Aftab Alam,440963,c †Taylor b Jarvis,0,1,0,0,0.0,0
Mujeeb Ur Rahman,974109,not out ,0,0,0,0,,0
Solomon Mire,290462, b Mujeeb Ur Rahman,2,5,0,0,40.0,1
Hamilton Masakadza,55608,c Asghar Stanikzai b Mujeeb Ur Rahman,29,30,3,2,96.67,1
Brendan Taylor †,55814,c Mujeeb Ur Rahman b Mohammad Nabi,15,16,1,0,93.75,1
Sikandar Raza,299572,lbw b Rashid Khan,40,26,5,1,153.85,1
Ryan Burl,495964,c Shafiqullah b Rashid Khan,30,30,2,0,100.0,1
Malcolm Waller,55872,not out ,6,7,0,0,85.71,1
Peter Moor,333000,not out ,12,6,1,1,200.0,1
