Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Rohit Sharma,34102,c Handscomb b Richardson,95,92,7,2,103.26,0
Shikhar Dhawan,28235, b Cummins,143,115,18,3,124.35,0
KL Rahul,422108,c †Carey b Zampa,26,31,1,0,83.87,0
Virat Kohli (c),253802,c †Carey b Richardson,7,6,1,0,116.67,0
Rishabh Pant †,931581,c Finch b Cummins,36,24,4,1,150.0,0
Kedar Jadhav,290716,c Richardson b Cummins,10,12,0,0,83.33,0
Vijay Shankar,477021,c Maxwell b Cummins,26,15,1,2,173.33,0
Bhuvneshwar Kumar,326016,c †Carey b Richardson,1,2,0,0,50.0,0
Kuldeep Yadav,559235,not out ,1,1,0,0,100.0,0
Yuzvendra Chahal,430246,c & b Cummins,0,1,0,0,0.0,0
Jasprit Bumrah,625383,not out ,6,1,0,1,600.0,0
Aaron Finch (c),5334, b Kumar,0,2,0,0,0.0,1
Usman Khawaja,215155,c Kuldeep Yadav b Bumrah,91,99,7,0,91.92,1
Shaun Marsh,6683, b Bumrah,6,10,1,0,60.0,1
Peter Handscomb,334337,c Rahul b Chahal,117,105,8,3,111.43,1
Glenn Maxwell,325026,lbw b Kuldeep Yadav,23,13,2,1,176.92,1
Ashton Turner,500268,not out ,84,43,5,6,195.35,1
Alex Carey †,326434,c Dhawan b Bumrah,21,15,2,0,140.0,1
Jhye Richardson,774223,not out ,0,0,0,0,,1
