Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Alex Carey †,326434,run out (Edwards/†Philippe),4,3,1,0,133.33,0
Jake Weatherald,781285,c Henriques b Dwarshuis,7,19,0,0,36.84,0
Jake Lehmann,437448,c Hughes b Dwarshuis,46,46,5,0,100.0,0
Colin Ingram (c),45705,c O'Keefe b Abbott,0,3,0,0,0.0,0
Jonathan Wells,233680, b Dwarshuis,23,20,0,1,115.0,0
Matthew Short,605575,st †Philippe b O'Keefe,1,3,0,0,33.33,0
Michael Neser,376169,lbw b Curran,31,21,1,2,147.62,0
Rashid Khan,793463,c & b Abbott,4,5,1,0,80.0,0
Peter Siddle,7898,not out ,0,1,0,0,0.0,0
Daniel Hughes,571761,not out ,51,44,8,0,115.91,1
Josh Philippe †,1124282,lbw b Neser,4,4,1,0,100.0,1
James Vince,296597,c Ingram b Stanlake,9,6,2,0,150.0,1
Moises Henriques (c),5961,not out ,61,31,5,4,196.77,1
