Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
D'Arcy Short,308798,c †Peirson b Bartlett,0,2,0,0,0.0,0
Ben McDermott †,603410, b Mujeeb Ur Rahman,4,8,0,0,50.0,0
Dawid Malan,236489, b Mujeeb Ur Rahman,39,32,4,1,121.88,0
Peter Handscomb (c),334337, b Wildermuth,18,19,2,0,94.74,0
Colin Ingram,45705,c Bartlett b Steketee,24,21,3,0,114.29,0
Tim David,892749, b Bartlett,36,17,2,3,211.76,0
Keemo Paul,677081,c & b Mujeeb Ur Rahman,8,9,1,0,88.89,0
Nathan Ellis,826915,not out ,11,6,0,1,183.33,0
Wil Parker,1216350, b Mujeeb Ur Rahman,0,1,0,0,0.0,0
Scott Boland,446548, b Mujeeb Ur Rahman,0,1,0,0,0.0,0
Riley Meredith,961713,run out (Bryant/Steketee),0,3,0,0,0.0,0
Max Bryant,1088608,c Ingram b Paul,32,21,3,1,152.38,1
Sam Heazlett,826679,c †McDermott b Meredith,0,5,0,0,0.0,1
Jack Wildermuth,570854,c Meredith b Boland,0,4,0,0,0.0,1
Tom Cooper,219885, b Meredith,1,3,0,0,33.33,1
Lewis Gregory,362201,c †McDermott b Meredith,29,27,4,0,107.41,1
Jimmy Peirson (c)†,444970,c Short b Boland,14,16,0,0,87.5,1
James Bazley,709675,not out ,49,31,4,2,158.06,1
Simon Milenko,326639,c Malan b Ellis,3,5,0,0,60.0,1
Mark Steketee,555853,run out (Ingram),14,11,2,0,127.27,1
