Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
KL Rahul †,422108,c Santner b Sodhi,39,26,49,3,2,150.0,0
Sanju Samson,425943,c Santner b Kuggeleijn,8,5,9,0,1,160.0,0
Virat Kohli (c),253802,c Santner b Bennett,11,9,16,2,0,122.22,0
Shreyas Iyer,642519,c †Seifert b Sodhi,1,7,10,0,0,14.29,0
Shivam Dube,714451,c Bruce b Sodhi,12,9,18,2,0,133.33,0
Manish Pandey,290630,not out ,50,36,53,3,0,138.89,0
Washington Sundar,719715, b Santner,0,3,4,0,0,0.0,0
Shardul Thakur,475281,c Southee b Bennett,20,15,22,2,0,133.33,0
Yuzvendra Chahal,430246,c †Seifert b Southee,1,2,6,0,0,50.0,0
Navdeep Saini,700167,not out ,11,9,13,2,0,122.22,0
Martin Guptill,226492,c †Rahul b Bumrah,4,8,24,0,0,50.0,1
Colin Munro,232359,run out (Thakur/Kohli),64,47,60,6,3,136.17,1
Tim Seifert †,625964,run out (†Rahul),57,39,82,4,3,146.15,1
Tom Bruce,707113, b Chahal,0,3,3,0,0,0.0,1
Ross Taylor,38699,c Iyer b Thakur,24,18,40,2,0,133.33,1
Daryl Mitchell,381743,c Dube b Thakur,4,3,6,1,0,133.33,1
Mitchell Santner,502714,run out (Samson/†Rahul),2,2,8,0,0,100.0,1
Scott Kuggeleijn,539548,not out ,0,0,4,0,0,,1
