Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Dwayne Smith,53118,run out (Mishra/Mohammed Shami),8,8,17,1,0,100.0,0
Ishan Kishan,720471,c Khan b Mishra,34,25,35,5,1,136.0,0
Suresh Raina (c),33335, b Cummins,6,5,12,1,0,120.0,0
Dinesh Karthik †,30045,c Anderson b Brathwaite,40,28,51,4,1,142.86,0
Aaron Finch,5334, b Mohammed Shami,69,39,58,6,4,176.92,0
Ravindra Jadeja,234675,not out ,13,7,22,2,0,185.71,0
James Faulkner,270484,not out ,14,8,10,1,0,175.0,0
Sanju Samson,425943, b Sangwan,10,7,6,2,0,142.86,1
Karun Nair,398439,c Smith b Faulkner,30,15,36,5,1,200.0,1
Rishabh Pant †,931581,run out (Raina),4,2,2,1,0,200.0,1
Shreyas Iyer,642519, b Basil Thampi,96,57,83,15,2,168.42,1
Marlon Samuels,52983,run out (Jadeja),1,4,8,0,0,25.0,1
Corey Anderson,277662,run out (Jadeja),6,6,7,1,0,100.0,1
Carlos Brathwaite,457249,c & b Kulkarni,11,10,10,2,0,110.0,1
Pat Cummins,489889,c Smith b Faulkner,24,13,22,2,1,184.62,1
Mohammed Shami,481896,not out ,4,2,8,1,0,200.0,1
Amit Mishra,31107,not out ,8,2,2,2,0,400.0,1
