Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Marcus Stoinis,325012,run out (Ross/†Peirson),81,51,7,2,158.82,0
Ben Dunk,388678,c Cutting b Renshaw,14,10,1,1,140.0,0
Peter Handscomb †,334337,c Renshaw b Lalor,1,2,0,0,50.0,0
Glenn Maxwell (c),325026,c & b Lalor,5,3,1,0,166.67,0
Nic Maddinson,333780,c Bryant b Swepson,12,19,1,0,63.16,0
Seb Gotch,500267,c Ross b Prestwidge,11,14,0,0,78.57,0
Dwayne Bravo,51439,run out (Swepson/†Peirson),21,16,1,1,131.25,0
Jackson Bird,215152,c Renshaw b Lalor,3,5,0,0,60.0,0
Adam Zampa,379504,not out ,0,0,0,0,,0
Max Bryant,1088608,not out ,71,30,6,5,236.67,1
Ben Cutting,230371,not out ,81,30,4,8,270.0,1
