Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Sharjeel Khan,227762,c Patel b Wiese,64,39,67,5,6,164.1,0
Babar Azam,348144, b Shaheen Shah Afridi,5,5,16,0,0,100.0,0
Joe Clarke †,571911,run out (Haris Rauf),4,6,13,1,0,66.67,0
Colin Ingram,45705, b Ahmed Daniyal,0,1,2,0,0,0.0,0
Mohammad Nabi,25913,c Sohail Akhtar b Haris Rauf,57,35,59,4,3,162.86,0
Dan Christian,4864,run out (Patel/Shaheen Shah Afridi),27,14,34,5,0,192.86,0
Imad Wasim (c),227758,c Denly b Patel,0,1,4,0,0,0.0,0
Waqas Maqsood,533561, b Shaheen Shah Afridi,12,11,20,2,0,109.09,0
Mohammad Ilyas,1159371,not out ,4,5,15,0,0,80.0,0
Mohammad Amir,290948, b Shaheen Shah Afridi,0,2,3,0,0,0.0,0
Arshad Iqbal,1130463,not out ,0,1,2,0,0,0.0,0
Fakhar Zaman,512191,c Babar Azam b Christian,83,54,88,8,4,153.7,1
Sohail Akhtar (c),532424,run out (Imad Wasim),0,0,5,0,0,,1
Joe Denly,12454, b Mohammad Amir,0,1,3,0,0,0.0,1
Mohammad Hafeez,41434,c Babar Azam b Waqas Maqsood,15,9,23,1,1,166.67,1
Ben Dunk †,388678,not out ,57,43,74,5,2,132.56,1
David Wiese,221140,not out ,31,9,15,3,3,344.44,1
