Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Chris Gayle,51880,c Sharafuddin Ashraf b Mujeeb Ur Rahman,10,18,1,0,55.56,0
Evin Lewis,431901,c †Mohammad Shahzad b Gulbadin Naib,27,36,6,0,75.0,0
Shai Hope †,581379,lbw b Rashid Khan,23,33,0,1,69.7,0
Marlon Samuels,52983,c Rahmat Shah b Gulbadin Naib,17,26,1,1,65.38,0
Shimron Hetmyer,670025,c †Mohammad Shahzad b Sharafuddin Ashraf,38,51,3,0,74.51,0
Jason Holder (c),391485,run out (Rahmat Shah/Mohammad Nabi),0,0,0,0,,0
Rovman Powell,820351, b Mujeeb Ur Rahman,44,75,1,2,58.67,0
Carlos Brathwaite,457249,c Asghar Stanikzai b Dawlat Zadran,14,10,1,1,140.0,0
Ashley Nurse,315594,not out ,26,29,3,0,89.66,0
Keemo Paul,677081,lbw b Mujeeb Ur Rahman,0,2,0,0,0.0,0
Kemar Roach,230553, b Mujeeb Ur Rahman,0,1,0,0,0.0,0
Mohammad Shahzad †,419873,c Holder b Gayle,84,93,11,2,90.32,1
Gulbadin Naib,352048,c Gayle b Paul,14,28,3,0,50.0,1
Rahmat Shah,533956,st †Hope b Gayle,51,78,4,0,65.38,1
Samiullah Shinwari,318339,not out ,20,33,1,0,60.61,1
Mohammad Nabi,25913,not out ,27,12,0,3,225.0,1
