Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Dimuth Karunaratne,227772, b Mehidy Hasan Miraz,30,76,113,2,0,39.47,0
Upul Tharanga,50747, b Subashis Roy,4,14,27,1,0,28.57,0
Kusal Mendis,629074,c Tamim Iqbal b Mehidy Hasan Miraz,194,285,441,19,4,68.07,0
Dinesh Chandimal,300628,c Mehidy Hasan Miraz b Mustafizur Rahman,5,54,71,0,0,9.26,0
Asela Gunaratne,360456, b Taskin Ahmed,85,134,179,7,0,63.43,0
Niroshan Dickwella †,429754,c Mahmudullah b Mehidy Hasan Miraz,75,76,129,6,1,98.68,0
Dilruwan Perera,49920,lbw b Mehidy Hasan Miraz,51,77,100,7,1,66.23,0
Rangana Herath (c),49178,c Soumya Sarkar b Mustafizur Rahman,14,19,22,3,0,73.68,0
Suranga Lakmal,49619,run out (†Liton Das/Mustafizur Rahman),8,29,34,1,0,27.59,0
Lakshan Sandakan,429738,c Mehidy Hasan Miraz b Shakib Al Hasan,5,15,21,0,0,33.33,0
Lahiru Kumara,784375,not out ,0,1,4,0,0,0.0,0
Tamim Iqbal,56194,run out (†Dickwella),57,112,140,6,0,50.89,1
Soumya Sarkar,436677,c Kumara b Lakmal,71,137,190,8,1,51.82,1
Mominul Haque,373696,lbw b Perera,7,17,15,1,0,41.18,1
Mushfiqur Rahim (c),56029, b Herath,85,161,248,8,1,52.8,1
Shakib Al Hasan,56143,c †Dickwella b Sandakan,23,19,31,1,1,121.05,1
Mahmudullah,56025, b Kumara,8,26,36,1,0,30.77,1
Liton Das †,536936,c Gunaratne b Herath,5,13,12,1,0,38.46,1
Mehidy Hasan Miraz,629063,lbw b Perera,41,77,106,5,0,53.25,1
Taskin Ahmed,538506,lbw b Perera,0,1,5,0,0,0.0,1
Subashis Roy,301847,not out ,0,14,28,0,0,0.0,1
Mustafizur Rahman,330902,c Mendis b Herath,4,9,8,0,0,44.44,1
Dimuth Karunaratne,227772,c Mahmudullah b Taskin Ahmed,32,73,92,1,0,43.84,2
Upul Tharanga,50747, b Mehidy Hasan Miraz,115,171,225,11,2,67.25,2
Kusal Mendis,629074,c Taskin Ahmed b Shakib Al Hasan,19,49,82,0,1,38.78,2
Dinesh Chandimal,300628,not out ,50,75,116,4,0,66.67,2
Asela Gunaratne,360456, b Shakib Al Hasan,0,3,4,0,0,0.0,2
Niroshan Dickwella †,429754,c †Liton Das b Mehidy Hasan Miraz,15,17,20,1,1,88.24,2
Dilruwan Perera,49920,c †Liton Das b Mustafizur Rahman,33,27,40,5,1,122.22,2
Tamim Iqbal,56194,c Gunaratne b Perera,19,55,94,1,0,34.55,3
Soumya Sarkar,436677, b Gunaratne,53,49,68,6,1,108.16,3
Mominul Haque,373696,lbw b Perera,5,15,17,1,0,33.33,3
Mushfiqur Rahim (c),56029,c †Dickwella b Sandakan,34,98,115,2,0,34.69,3
Shakib Al Hasan,56143,c Karunaratne b Herath,8,12,24,1,0,66.67,3
Mahmudullah,56025,lbw b Herath,0,2,2,0,0,0.0,3
Liton Das †,536936,c Tharanga b Herath,35,62,88,2,0,56.45,3
Mehidy Hasan Miraz,629063,c Kumara b Herath,28,48,48,3,1,58.33,3
Taskin Ahmed,538506,c Mendis b Herath,5,13,17,0,0,38.46,3
Mustafizur Rahman,330902, b Herath,0,5,7,0,0,0.0,3
Subashis Roy,301847,not out ,0,5,13,0,0,0.0,3
