Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Mohammad Shahzad †,419873,c Mpofu b Ngarava,8,9,8,2,0,88.89,0
Noor Ali Zadran,318340,lbw b Cremer,39,71,112,4,0,54.93,0
Rahmat Shah,533956,c Musakanda b Cremer,31,56,85,3,0,55.36,0
Asghar Afghan (c),320652,c Musakanda b Sikandar Raza,50,57,76,1,2,87.72,0
Hashmatullah Shahidi,440970,run out (Mpofu),21,44,55,1,0,47.73,0
Mohammad Nabi,25913,c Mire b Mpofu,6,12,13,0,0,50.0,0
Najibullah Zadran,524049,c Burl b Mpofu,11,18,30,0,0,61.11,0
Gulbadin Naib,352048,c & b Cremer,1,3,4,0,0,33.33,0
Rashid Khan,793463,c Sikandar Raza b Chatara,32,18,31,3,2,177.78,0
Dawlat Zadran,516561,c †Moor b Chatara,2,6,6,0,0,33.33,0
Amir Hamza,402245,not out ,0,2,9,0,0,0.0,0
Peter Moor †,333000,c Dawlat Zadran b Mohammad Nabi,18,20,21,4,0,90.0,1
Solomon Mire,290462,lbw b Amir Hamza,2,11,15,0,0,18.18,1
Craig Ervine,55412,not out ,38,56,99,2,0,67.86,1
Sikandar Raza,299572,c Mohammad Nabi b Gulbadin Naib,12,30,35,2,0,40.0,1
Ryan Burl,495964,lbw b Rashid Khan,28,46,55,3,0,60.87,1
Tarisai Musakanda,596375,not out ,0,1,1,0,0,0.0,1
