Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Avishka Fernando,784369,c Markram b Ngidi,9,15,16,2,0,60.0,0
Upul Tharanga,50747,c †de Kock b Rabada,2,8,21,0,0,25.0,0
Oshada Fernando,366725,c du Plessis b Imran Tahir,22,47,70,4,0,46.81,0
Kusal Mendis †,629074,run out (Ngidi/Nortje),56,84,129,3,0,66.67,0
Angelo Perera,300629,c du Plessis b Imran Tahir,31,37,40,3,0,83.78,0
Priyamal Perera,653033,c & b Rabada,33,57,89,2,0,57.89,0
Thisara Perera,233514,c Imran Tahir b Nortje,2,7,8,0,0,28.57,0
Dhananjaya de Silva,465793,c Duminy b Phehlukwayo,12,12,14,2,0,100.0,0
Isuru Udana,328026,c Imran Tahir b Rabada,32,29,40,3,1,110.34,0
Akila Dananjaya,574178,c Duminy b Nortje,3,4,6,0,0,75.0,0
Lasith Malinga (c),49758,not out ,0,0,3,0,0,,0
Quinton de Kock †,379143,c WIA Fernando b Malinga,6,14,11,1,0,42.86,1
Aiden Markram,600498,not out ,67,75,122,7,0,89.33,1
Faf du Plessis (c),44828,c †Mendis b NLTC Perera,24,42,65,1,0,57.14,1
Rassie van der Dussen,337790,not out ,28,37,44,2,0,75.68,1
