Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
David Warner,219889, b Archer,6,14,15,0,0,42.86,0
Aaron Finch (c),5334,c †Buttler b Wood,16,25,42,3,0,64.0,0
Marcus Stoinis,325012,c †Buttler b Wood,43,34,56,6,0,126.47,0
Marnus Labuschagne,787987,lbw b Rashid,21,30,46,1,0,70.0,0
Mitchell Marsh,272450,lbw b Wood,73,100,135,6,0,73.0,0
Alex Carey †,326434,c Billings b Rashid,10,10,14,1,0,100.0,0
Glenn Maxwell,325026, b Archer,77,59,83,4,4,130.51,0
Pat Cummins,489889,c Morgan b Archer,9,7,10,1,0,128.57,0
Mitchell Starc,311592,not out ,19,12,26,1,1,158.33,0
Adam Zampa,379504,c & b Woakes,5,9,15,0,0,55.56,0
Josh Hazlewood,288284,not out ,0,0,1,0,0,,0
Jason Roy,298438,c & b Hazlewood,3,12,19,0,0,25.0,1
Jonny Bairstow,297433,c Hazlewood b Zampa,84,107,162,4,4,78.5,1
Joe Root,303669,c †Carey b Hazlewood,1,11,15,0,0,9.09,1
Eoin Morgan (c),24598,c Maxwell b Zampa,23,18,36,2,1,127.78,1
Jos Buttler †,308967,c Labuschagne b Zampa,1,4,8,0,0,25.0,1
Sam Billings,297628,c Warner b Marsh,118,110,155,14,2,107.27,1
Moeen Ali,8917,c Labuschagne b Hazlewood,6,13,13,0,0,46.15,1
Chris Woakes,247235,c Maxwell b Zampa,10,11,23,1,0,90.91,1
Adil Rashid,244497,c Maxwell b Cummins,5,5,7,0,0,100.0,1
Jofra Archer,669855,not out ,8,10,25,0,0,80.0,1
