Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Jason Roy,298438,c Hazlewood b Tye,49,46,7,1,106.52,0
Jonny Bairstow,297433, b Starc,44,48,4,2,91.67,0
Alex Hales,249866,c Maxwell b Marsh,35,47,3,1,74.47,0
Joe Root,303669,c Warner b Tye,62,68,2,0,91.18,0
Eoin Morgan (c),24598,c Stoinis b Marsh,3,10,0,0,30.0,0
Jos Buttler †,308967,c Warner b Tye,21,25,1,1,84.0,0
Moeen Ali,8917,c Tye b Zampa,6,12,0,0,50.0,0
Adil Rashid,244497,run out (Smith),12,16,1,0,75.0,0
David Willey,308251,c Marsh b Tye,2,6,0,0,33.33,0
Tom Curran,550235,not out ,11,7,0,1,157.14,0
Jake Ball,414990, b Tye,0,2,0,0,0.0,0
David Warner,219889, b Curran,15,11,2,0,136.36,1
Travis Head,530011,run out (Morgan),22,30,2,0,73.33,1
Marcus Stoinis,325012,c Curran b Rashid,87,99,6,4,87.88,1
Steven Smith (c),267192,st †Buttler b Ali,12,23,0,0,52.17,1
Mitchell Marsh,272450,c & b Ali,13,11,2,0,118.18,1
Glenn Maxwell,325026,lbw b Curran,34,39,3,1,87.18,1
Tim Paine †,7252, b Curran,34,44,2,1,77.27,1
Mitchell Starc,311592,c †Buttler b Curran,0,2,0,0,0.0,1
Andrew Tye,459508,c Morgan b Ali,8,11,1,0,72.73,1
Adam Zampa,379504, b Curran,11,17,1,0,64.71,1
Josh Hazlewood,288284,not out ,0,3,0,0,0.0,1
