Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Ajinkya Rahane,277916,lbw b Tambe,21,17,15,4,0,123.53,0
Faf du Plessis,44828,st †Karthik b Tambe,69,43,70,5,4,160.47,0
Kevin Pietersen,19296, b Bravo,37,31,46,2,1,119.35,0
Steven Smith,267192,c Faulkner b Jadeja,5,6,11,0,0,83.33,0
MS Dhoni (c)†,28081,not out ,22,10,19,2,1,220.0,0
Mitchell Marsh,272450, b Jadeja,7,11,7,0,0,63.64,0
Rajat Bhatia,26907,not out ,0,2,7,0,0,0.0,0
Aaron Finch,5334,c Sharma b M Ashwin,50,36,39,7,2,138.89,1
Brendon McCullum,37737,c du Plessis b Sharma,49,31,58,3,3,158.06,1
Suresh Raina (c),33335,st †Dhoni b M Ashwin,24,24,35,1,0,100.0,1
Dwayne Bravo,51439,not out ,22,10,26,3,1,220.0,1
Ravindra Jadeja,234675,not out ,4,8,9,0,0,50.0,1
