Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Umar Siddiq †,598896,c Pollard b Dawson,20,20,0,2,100.0,0
James Vince,296597, b Hasan Ali,0,1,0,0,0.0,0
Johnson Charles,333066,c Imam-ul-Haq b Umaid Asif,53,34,4,3,155.88,0
Shoaib Malik (c),42657,c †Kamran Akmal b Hasan Ali,22,24,0,0,91.67,0
Dan Christian,4864,c Malan b Sameen Gul,17,21,1,0,80.95,0
Shahid Afridi,42639,c Pollard b Hasan Ali,14,11,2,0,127.27,0
Hammad Azam,384518,lbw b Hasan Ali,0,2,0,0,0.0,0
Chris Green,787073,run out (†Kamran Akmal),3,3,0,0,100.0,0
Mohammad Ilyas,1159371, b Wahab Riaz,1,3,0,0,33.33,0
Junaid Khan,259551,run out (Dawson),0,1,0,0,0.0,0
Mohammad Irfan,429981,not out ,0,1,0,0,0.0,0
Imam-ul-Haq,568276,lbw b Junaid Khan,52,44,5,1,118.18,1
Kamran Akmal †,41028,c Mohammad Ilyas b Mohammad Irfan,4,3,1,0,133.33,1
Dawid Malan,236489,c †Umar Siddiq b Christian,38,35,5,0,108.57,1
Liam Dawson,211855,c Mohammad Ilyas b Christian,18,15,0,1,120.0,1
Kieron Pollard,230559,c Christian b Junaid Khan,25,10,0,4,250.0,1
Daren Sammy (c),53115,not out ,5,9,0,0,55.56,1
Wahab Riaz,43590,not out ,2,2,0,0,100.0,1
