Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Jason Roy,298438,c †Paine b Tye,120,108,156,12,2,111.11,0
Jonny Bairstow,297433,c †Paine b KW Richardson,42,24,36,8,1,175.0,0
Alex Hales,249866, b JA Richardson,26,38,39,3,0,68.42,0
Joe Root,303669,c Short b Stoinis,22,24,40,2,0,91.67,0
Jos Buttler (c)†,308967,not out ,91,70,102,8,2,130.0,0
Sam Billings,297628, b Tye,11,18,27,0,0,61.11,0
Moeen Ali,8917,c Agar b JA Richardson,8,6,11,1,0,133.33,0
David Willey,308251,c & b KW Richardson,11,10,17,2,0,110.0,0
Liam Plunkett,19264,run out (Short/Tye),1,2,4,0,0,50.0,0
Adil Rashid,244497,not out ,0,0,2,0,0,,0
Travis Head,530011,c Hales b Wood,19,15,17,3,1,126.67,1
D'Arcy Short,308798,c Root b Ali,21,33,61,2,0,63.64,1
Shaun Marsh,6683, b Plunkett,131,116,178,10,3,112.93,1
Marcus Stoinis,325012, b Plunkett,9,18,21,0,0,50.0,1
Aaron Finch,5334,lbw b Rashid,0,4,6,0,0,0.0,1
Glenn Maxwell,325026,c Willey b Ali,31,34,38,4,0,91.18,1
Ashton Agar,505120,st †Buttler b Rashid,46,42,50,7,0,109.52,1
Tim Paine (c)†,7252,c Rashid b Plunkett,15,11,16,1,0,136.36,1
Andrew Tye,459508,c Billings b Rashid,10,6,9,1,0,166.67,1
Jhye Richardson,774223,c Roy b Plunkett,2,3,10,0,0,66.67,1
Kane Richardson,272262,not out ,0,1,3,0,0,0.0,1
