Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Lendl Simmons,53116, b Mohammad Nabi,1,5,7,0,0,20.0,0
Parthiv Patel †,32242,c Warner b Kaul,23,17,27,1,1,135.29,0
Nitish Rana,604527,c Kumar b Kaul,9,11,10,2,0,81.82,0
Rohit Sharma (c),34102, b Kaul,67,45,66,6,2,148.89,0
Hardik Pandya,625371,c Henriques b Rashid Khan,15,24,39,0,0,62.5,0
Kieron Pollard,230559,c Shankar b Kumar,5,9,23,0,0,55.56,0
Karn Sharma,30288,c †Ojha b Kumar,5,5,9,1,0,100.0,0
Harbhajan Singh,29264,not out ,1,3,5,0,0,33.33,0
Mitchell McClenaghan,319439,not out ,2,1,1,0,0,200.0,0
David Warner (c),219889,lbw b McClenaghan,6,6,4,1,0,100.0,1
Shikhar Dhawan,28235,not out ,62,46,92,4,2,134.78,1
Moises Henriques,5961,c RG Sharma b Bumrah,44,35,49,6,0,125.71,1
Yuvraj Singh,36084,c Pandya b Malinga,9,11,16,1,0,81.82,1
Vijay Shankar,477021,not out ,15,12,20,1,0,125.0,1
