Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Shan Masood,233901,lbw b Anderson,1,5,11,0,0,20.0,0
Abid Ali,39950,c Burns b Curran,60,111,168,7,0,54.05,0
Azhar Ali (c),39037,c Burns b Anderson,20,85,127,1,0,23.53,0
Babar Azam,348144,c †Buttler b Broad,47,127,144,3,0,37.01,0
Asad Shafiq,316397,c Sibley b Broad,5,13,23,1,0,38.46,0
Fawad Alam,40250,lbw b Woakes,0,4,10,0,0,0.0,0
Mohammad Rizwan †,323389,c Crawley b Broad,72,139,222,7,0,51.8,0
Yasir Shah,43685,c †Buttler b Anderson,5,16,22,1,0,31.25,0
Shaheen Shah Afridi,1072470,run out (Sibley),0,19,30,0,0,0.0,0
Mohammad Abbas,389666,lbw b Broad,2,20,56,0,0,10.0,0
Naseem Shah,1158088,not out ,1,10,28,0,0,10.0,0
Rory Burns,398778,c Asad Shafiq b Shaheen Shah Afridi,0,4,4,0,0,0.0,1
Dom Sibley,519082,c †Mohammad Rizwan b Mohammad Abbas,32,95,155,3,0,33.68,1
Zak Crawley,665053,lbw b Mohammad Abbas,53,99,138,7,0,53.54,1
Joe Root (c),303669,not out ,9,35,49,0,0,25.71,1
Ollie Pope,887207,lbw b Yasir Shah,9,16,22,1,0,56.25,1
Jos Buttler †,308967,not out ,0,13,17,0,0,0.0,1
