Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
David Warner,219889,c †Buttler b Archer,0,3,0,0,0.0,0
Aaron Finch (c),5334, b Jordan,40,33,4,2,121.21,0
Alex Carey †,326434,c †Buttler b Wood,2,7,0,0,28.57,0
Steven Smith,267192,run out (Morgan),10,7,1,1,142.86,0
Marcus Stoinis,325012,c Malan b Rashid,35,26,2,2,134.62,0
Glenn Maxwell,325026,c †Buttler b Jordan,26,18,1,1,144.44,0
Ashton Agar,505120,run out (Archer),23,20,2,0,115.0,0
Pat Cummins,489889,not out ,13,5,1,1,260.0,0
Mitchell Starc,311592,not out ,2,1,0,0,200.0,0
Jos Buttler †,308967,not out ,77,54,8,2,142.59,1
Jonny Bairstow,297433,hit wicket b Starc,9,11,2,0,81.82,1
Dawid Malan,236489,c Stoinis b Agar,42,32,7,0,131.25,1
Tom Banton,877051,c Cummins b Agar,2,4,0,0,50.0,1
Eoin Morgan (c),24598,c Maxwell b Zampa,7,6,1,0,116.67,1
Moeen Ali,8917,not out ,13,6,1,1,216.67,1
