Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Chris Gayle,51880,lbw b Mehidy Hasan Miraz,29,38,3,1,76.32,0
Evin Lewis,431901,lbw b Mashrafe Mortaza,12,18,1,1,66.67,0
Shai Hope †,581379,c Sabbir Rahman b Shakib Al Hasan,25,43,3,0,58.14,0
Shimron Hetmyer,670025,run out (Mehidy Hasan Miraz/†Mushfiqur Rahim),125,93,3,7,134.41,0
Jason Mohammed,230549,c †Mushfiqur Rahim b Rubel Hossain,12,15,1,0,80.0,0
Rovman Powell,820351, b Rubel Hossain,44,67,4,0,65.67,0
Jason Holder (c),391485,st †Mushfiqur Rahim b Shakib Al Hasan,7,5,0,1,140.0,0
Ashley Nurse,315594,c Tamim Iqbal b Mustafizur Rahman,3,8,0,0,37.5,0
Keemo Paul,677081,c †Mushfiqur Rahim b Rubel Hossain,4,4,1,0,100.0,0
Devendra Bishoo,341593, b Mustafizur Rahman,0,2,0,0,0.0,0
Alzarri Joseph,670031,not out ,1,5,0,0,20.0,0
Tamim Iqbal,56194,st †Hope b Bishoo,54,85,6,0,63.53,1
Anamul Haque,380354, b Joseph,23,9,2,2,255.56,1
Shakib Al Hasan,56143,c Paul b Nurse,56,72,5,0,77.78,1
Mushfiqur Rahim †,56029,c Paul b Holder,68,67,5,1,101.49,1
Mahmudullah,56025,run out (Nurse/Holder),39,51,0,2,76.47,1
Sabbir Rahman,373538,c Hetmyer b Paul,12,11,1,0,109.09,1
Mosaddek Hossain,550133,not out ,3,4,0,0,75.0,1
Mashrafe Mortaza (c),56007,not out ,1,1,0,0,100.0,1
