Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Paul Stirling,303427,c Gulbadin Naib b Naveen-ul-Haq,128,132,181,12,4,96.97,0
Kevin O'Brien,24605,c Gulbadin Naib b Mujeeb Ur Rahman,1,2,6,0,0,50.0,0
Andy Balbirnie (c),303423,lbw b Mujeeb Ur Rahman,5,10,9,1,0,50.0,0
Harry Tector,961407,c Gulbadin Naib b Naveen-ul-Haq,24,58,85,0,0,41.38,0
Curtis Campher,595921,c Hashmatullah Shahidi b Rashid Khan,47,52,67,4,0,90.38,0
Lorcan Tucker †,928057,c Mohammad Nabi b Mujeeb Ur Rahman,17,19,19,2,0,89.47,0
Gareth Delany,1099379,not out ,12,13,27,0,0,92.31,0
Simi Singh,1005257,c †Rahmanullah Gurbaz b Naveen-ul-Haq,13,11,12,1,0,118.18,0
Andy McBrine,417381, b Naveen-ul-Haq,0,1,1,0,0,0.0,0
Barry McCarthy,348059,c Rashid Khan b Gulbadin Naib,0,1,2,0,0,0.0,0
Craig Young,364343,not out ,0,1,4,0,0,0.0,0
Rahmanullah Gurbaz †,974087,lbw b Campher,31,26,34,3,2,119.23,1
Javed Ahmadi,308235,lbw b McCarthy,16,24,30,2,0,66.67,1
Rahmat Shah,533956,not out ,103,109,156,10,2,94.5,1
Hashmatullah Shahidi,440970,c Young b Simi Singh,82,100,138,8,1,82.0,1
Asghar Afghan (c),320652,not out ,21,13,14,1,2,161.54,1
