Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Martin Guptill,226492,c Banton b Rashid,50,20,3,5,250.0,0
Colin Munro,232359,c Vince b SM Curran,46,21,2,4,219.05,0
Colin de Grandhomme,55395,c Vince b Mahmood,6,5,1,0,120.0,0
Tim Seifert †,625964, b TK Curran,39,16,1,5,243.75,0
James Neesham,355269,not out ,1,1,0,0,100.0,0
Ross Taylor,38699,run out (SM Curran/†Billings),3,3,0,0,100.0,0
Tom Banton,877051,lbw b Boult,7,4,0,1,175.0,1
Jonny Bairstow,297433,c †Seifert b Neesham,47,18,2,5,261.11,1
James Vince,296597,c Kuggeleijn b Southee,1,2,0,0,50.0,1
Eoin Morgan (c),24598,c Kuggeleijn b Boult,17,7,1,2,242.86,1
Sam Curran,662973,st †Seifert b Santner,24,11,2,2,218.18,1
Sam Billings †,297628,not out ,11,10,1,0,110.0,1
Lewis Gregory,362201,c Southee b Santner,6,2,0,1,300.0,1
Tom Curran,550235,c de Grandhomme b Neesham,12,9,0,1,133.33,1
Chris Jordan,288992,not out ,12,3,1,1,400.0,1
