Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Sunil Ambris,348054,lbw b Mustafizur Rahman,7,5,7,0,1,140.0,0
Joshua Da Silva †,1168667,c Liton Das b Mustafizur Rahman,9,13,25,1,0,69.23,0
Andre McCarthy,230556, b Shakib Al Hasan,12,34,53,1,0,35.29,0
Jason Mohammed (c),230549,st †Mushfiqur Rahim b Shakib Al Hasan,17,36,51,0,0,47.22,0
Kyle Mayers,348056,c Liton Das b Mehidy Hasan Miraz,40,56,73,4,1,71.43,0
Nkrumah Bonner,314650,lbw b Shakib Al Hasan,0,4,6,0,0,0.0,0
Rovman Powell,820351,c †Mushfiqur Rahim b Hasan Mahmud,28,31,43,2,2,90.32,0
Raymon Reifer,450101,lbw b Hasan Mahmud,0,1,1,0,0,0.0,0
Alzarri Joseph,670031, b Shakib Al Hasan,4,7,15,1,0,57.14,0
Akeal Hosein,530812,c Liton Das b Hasan Mahmud,1,4,4,0,0,25.0,0
Chemar Holder,914519,not out ,0,3,5,0,0,0.0,0
Liton Das,536936, b Hosein,14,38,57,2,0,36.84,1
Tamim Iqbal (c),56194,st †Da Silva b Mohammed,44,69,92,7,0,63.77,1
Najmul Hossain Shanto,629058,c Mohammed b Hosein,1,9,12,0,0,11.11,1
Shakib Al Hasan,56143, b Hosein,19,43,41,1,0,44.19,1
Mushfiqur Rahim †,56029,not out ,19,31,38,1,0,61.29,1
Mahmudullah,56025,not out ,9,16,18,1,0,56.25,1
