Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Matthew Wade (c),230193,c †Lenton b Sams,56,34,6,2,164.71,0
D'Arcy Short,308798, b Nair,0,2,0,0,0.0,0
Macalister Wright,816627,c †Lenton b Sams,64,45,4,3,142.22,0
David Miller,321777,c Hales b Nair,6,8,0,0,75.0,0
Ben McDermott †,603410, b Sams,12,11,2,0,109.09,0
George Bailey,4451,c Morris b Sams,29,10,3,2,290.0,0
Clive Rose,288285,not out ,7,7,0,0,100.0,0
Nathan Ellis,826915,not out ,4,3,0,0,133.33,0
Usman Khawaja,215155,c Boland b Faulkner,3,8,0,0,37.5,1
Alex Hales,249866,c Boland b Short,63,42,5,4,150.0,1
Callum Ferguson (c),5236,c Faulkner b Boland,12,8,0,1,150.0,1
Alex Ross,333624,c Miller b Short,36,27,3,1,133.33,1
Chris Morris,439952,lbw b Short,1,3,0,0,33.33,1
Jay Lenton †,603411,c Wright b Short,2,6,0,0,33.33,1
Daniel Sams,826901,c Bailey b Boland,1,3,0,0,33.33,1
Arjun Nair,901157,c Miller b Short,4,3,1,0,133.33,1
Gurinder Sandhu,499660, b Ellis,2,3,0,0,66.67,1
Jonathan Cook,1137279,not out ,0,1,0,0,0.0,1
Liam Bowe,1076852,run out (Wright),0,1,0,0,0.0,1
