Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Brian Chari,427178, b Mohammad Hasnain,9,18,34,1,0,50.0,0
Chamu Chibhabha (c),55354,c Iftikhar Ahmed b Mohammad Hasnain,0,3,6,0,0,0.0,0
Craig Ervine,55412,c †Mohammad Rizwan b Mohammad Hasnain,1,9,9,0,0,11.11,0
Brendan Taylor †,55814,c Khushdil Shah b Mohammad Hasnain,56,68,91,8,0,82.35,0
Sean Williams,55870,not out ,118,135,189,13,1,87.41,0
Wesley Madhevere,938959,c & b Mohammad Hasnain,33,31,57,4,0,106.45,0
Sikandar Raza,299572, b Wahab Riaz,45,36,55,4,1,125.0,0
Donald Tiripano,392945,not out ,1,1,1,0,0,100.0,0
Imam-ul-Haq,568276, b Muzarabani,4,3,2,1,0,133.33,1
Fakhar Zaman,512191,lbw b Ngarava,2,2,8,0,0,100.0,1
Babar Azam (c),348144,c †Taylor b Muzarabani,125,125,201,13,1,100.0,1
Haider Ali,1168651,lbw b Ngarava,13,9,8,3,0,144.44,1
Mohammad Rizwan †,323389, b Tiripano,10,26,32,0,0,38.46,1
Iftikhar Ahmed,480603, b Tiripano,18,21,25,2,0,85.71,1
Khushdil Shah,716733,c †Taylor b Muzarabani,33,48,45,4,0,68.75,1
Wahab Riaz,43590,c Williams b Muzarabani,52,56,68,3,3,92.86,1
Shaheen Shah Afridi,1072470,c Sikandar Raza b Muzarabani,2,5,10,0,0,40.0,1
Muhammad Musa,1072472,not out ,9,3,7,2,0,300.0,1
Mohammad Hasnain,1158100,not out ,3,3,5,0,0,100.0,1
