Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Shaun Marsh,6683,c Beer b Boland,8,12,1,0,66.67,0
Michael Klinger (c),6161, b Hilfenhaus,3,7,0,0,42.86,0
Ian Bell,9062,lbw b Beer,0,1,0,0,0.0,0
Cameron Bancroft †,501011,lbw b Beer,0,3,0,0,0.0,0
Hilton Cartwright,557295,c †Handscomb b Stoinis,7,12,1,0,58.33,0
Andrew Tye,459508,c Hussey b Hilfenhaus,42,33,4,1,127.27,0
Ashton Turner,500268,c Gulbis b Boland,15,17,1,0,88.24,0
Ashton Agar,505120,not out ,29,20,3,1,145.0,0
Tim Bresnan,9310,not out ,20,15,1,1,133.33,0
Rob Quiney,211854,c Marsh b Bresnan,35,23,5,0,152.17,1
Luke Wright,23460,c Tye b Richardson,7,11,1,0,63.64,1
Kevin Pietersen,19296,not out ,44,42,3,1,104.76,1
Peter Handscomb †,334337,c Turner b Richardson,3,5,0,0,60.0,1
Marcus Stoinis,325012,not out ,40,23,2,3,173.91,1
