Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Paul Stirling,303427,lbw b Bravo,11,7,0,1,157.14,0
Kevin O'Brien,24605,c Hetmyer b Pollard,36,18,6,1,200.0,0
Andy Balbirnie (c),303423,run out (Rutherford),28,23,3,0,121.74,0
Gareth Delany,1099379,c †Pooran b Pollard,6,5,1,0,120.0,0
Harry Tector,961407,c †Pooran b Pollard,1,2,0,0,50.0,0
Gary Wilson †,24609,c Simmons b Shepherd,7,8,1,0,87.5,0
Mark Adair,526441,run out (Cottrell),6,9,0,0,66.67,0
Simi Singh,1005257,c Cottrell b Rutherford,5,8,0,0,62.5,0
Barry McCarthy,348059,not out ,18,13,0,1,138.46,0
Craig Young,364343,c Simmons b Bravo,8,11,1,0,72.73,0
Josh Little,928067,c †Pooran b Bravo,5,11,0,0,45.45,0
Lendl Simmons,53116,not out ,91,40,5,10,227.5,1
Evin Lewis,431901,c †Wilson b Simi Singh,46,25,4,3,184.0,1
Nicholas Pooran †,604302,not out ,1,1,0,0,100.0,1
