Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Josh Philippe †,1124282, b Zampa,52,29,4,3,179.31,0
James Vince,296597,c Coulter-Nile b Worrall,2,9,0,0,22.22,0
Steven Smith,267192,c Handscomb b Maxwell,21,12,2,1,175.0,0
Moises Henriques (c),5961, b Zampa,7,6,0,0,116.67,0
Daniel Hughes,571761,lbw b Maxwell,0,1,0,0,0.0,0
Jordan Silk,437669,not out ,27,15,1,1,180.0,0
Marcus Stoinis,325012,c Abbott b Lyon,10,4,1,1,250.0,1
Nic Maddinson,333780,c Vince b Hazlewood,0,4,0,0,0.0,1
Glenn Maxwell (c),325026,lbw b O'Keefe,5,4,1,0,125.0,1
Nick Larkin,533870,not out ,38,26,2,2,146.15,1
Peter Handscomb,334337,run out (Smith/Abbott),6,8,0,0,75.0,1
Ben Dunk,388678,lbw b Lyon,11,9,0,1,122.22,1
Seb Gotch †,500267,c Abbott b O'Keefe,8,9,0,0,88.89,1
Nathan Coulter-Nile,261354,not out ,19,8,1,1,237.5,1
