Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Max Bryant,1088608,c Archer b Faulkner,7,11,1,0,63.64,0
Brendon McCullum,37737,c Bailey b Moody,3,11,0,0,27.27,0
Chris Lynn (c),326637,c Bailey b Archer,10,9,2,0,111.11,0
Matt Renshaw,722303,c †Wade b Archer,0,1,0,0,0.0,0
Alex Ross,333624,c †Wade b Moody,62,35,8,1,177.14,0
Jimmy Peirson †,444970, b Faulkner,50,48,3,2,104.17,0
Ben Cutting,230371,not out ,5,5,0,0,100.0,0
Matthew Wade (c)†,230193,c Mujeeb Ur Rahman b Cutting,12,7,0,1,171.43,1
D'Arcy Short,308798,not out ,68,41,8,1,165.85,1
Caleb Jewell,834741,not out ,61,38,8,1,160.53,1
