Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Quinton de Kock †,379143,lbw b Mohammad Hafeez,33,49,60,2,0,67.35,0
Hashim Amla,43906,lbw b Imad Wasim,16,20,39,2,0,80.0,0
Faf du Plessis,44828, b Hasan Ali,26,44,57,1,0,59.09,0
AB de Villiers (c),44936,c Mohammad Hafeez b Imad Wasim,0,1,5,0,0,0.0,0
David Miller,321777,not out ,75,104,155,1,3,72.12,0
Jean-Paul Duminy,44932,c Babar Azam b Hasan Ali,8,14,24,0,0,57.14,0
Wayne Parnell,265564, b Hasan Ali,0,1,2,0,0,0.0,0
Chris Morris,439952,c Hasan Ali b Junaid Khan,28,45,60,1,0,62.22,0
Kagiso Rabada,550215,c Hasan Ali b Junaid Khan,26,23,33,2,0,113.04,0
Morne Morkel,46538,not out ,0,0,5,0,0,,0
Azhar Ali,39037,c Imran Tahir b Morkel,9,22,33,1,0,40.91,1
Fakhar Zaman,512191,c Amla b Morkel,31,23,30,6,0,134.78,1
Babar Azam,348144,not out ,31,51,80,4,0,60.78,1
Mohammad Hafeez,41434,c Imran Tahir b Morkel,26,53,69,1,1,49.06,1
Shoaib Malik,42657,not out ,16,14,17,3,0,114.29,1
